"city_id","city_name","county_id","county_name","large_area","lgarea_group"
65,"Bremerton",35,"Kitsap","Central Kitsap","Central, North, and South Kitsap"
66,"Bremerton UGA",35,"Kitsap","Central Kitsap","Central, North, and South Kitsap"
68,"Central Kitsap UGA",35,"Kitsap","Central Kitsap","Central, North, and South Kitsap"
70,"Silverdale",35,"Kitsap","Central Kitsap","Central, North, and South Kitsap"
38,"Bear Creek UPD",33,"King","Eastside King","Eastside King (1)"
51,"Beaux Arts",33,"King","Eastside King","Eastside King (2)"
13,"Bellevue",33,"King","Eastside King","Eastside King (2)"
58,"Bellevue PAA",33,"King","Eastside King","Eastside King (2)"
28,"Bothell",33,"King","Eastside King","Eastside King (1)"
41,"Clyde Hill",33,"King","Eastside King","Eastside King (1)"
48,"Hunts Point",33,"King","Eastside King","Eastside King (1)"
22,"Issaquah",33,"King","Eastside King","Eastside King (2)"
44,"Issaquah PAA",33,"King","Eastside King","Eastside King (2)"
26,"Kenmore",33,"King","Eastside King","Eastside King (1)"
14,"Kirkland",33,"King","Eastside King","Eastside King (1)"
50,"Medina",33,"King","Eastside King","Eastside King (1)"
19,"Mercer Island",33,"King","Eastside King","Eastside King (2)"
43,"Newcastle",33,"King","Eastside King","Eastside King (2)"
36,"Newcastle PAA",33,"King","Eastside King","Eastside King (2)"
15,"Redmond",33,"King","Eastside King","Eastside King (1)"
34,"Redmond PAA",33,"King","Eastside King","Eastside King (1)"
21,"Sammamish",33,"King","Eastside King","Eastside King (2)"
24,"Sammamish PAA",33,"King","Eastside King","Eastside King (2)"
46,"UUU",33,"King","Eastside King","Eastside King (1)"
30,"Woodinville",33,"King","Eastside King","Eastside King (1)"
47,"Yarrow Point",33,"King","Eastside King","Eastside King (1)"
111,"Arlington",61,"Snohomish","Everett","Everett"
124,"Arlington UGA",61,"Snohomish","Everett","Everett"
95,"Everett",61,"Snohomish","Everett","Everett"
113,"Lake Stevens",61,"Snohomish","Everett","Everett"
122,"Lake Stevens UGA",61,"Snohomish","Everett","Everett"
106,"Marysville",61,"Snohomish","Everett","Everett"
134,"PAINE FIELD AREA",61,"Snohomish","Everett","Everett"
112,"Snohomish",61,"Snohomish","Everett","Everett"
126,"Snohomish UGA",61,"Snohomish","Everett","Everett"
31,"Algona",33,"King","Green River","Green River"
2,"Auburn",33,"King","Green River","Green River"
60,"Auburn PAA",33,"King","Green River","Green River"
7,"Kent",33,"King","Green River","Green River"
10,"Kent PAA",33,"King","Green River","Green River"
39,"Pacific",33,"King","Green River","Green River"
12,"Renton",33,"King","Green River","Green River"
8,"Tukwila",33,"King","Green River","Green River"
40,"Tukwila PAA",33,"King","Green River","Green River"
55,"Carnation",33,"King","King Other","SE King and King Other"
27,"Duvall",33,"King","King Other","SE King and King Other"
32,"North Bend",33,"King","King Other","SE King and King Other"
52,"Skykomish",33,"King","King Other","SE King and King Other"
37,"Snoqualmie",33,"King","King Other","SE King and King Other"
69,"Bainbridge Island",35,"Kitsap","North Kitsap","Central, North, and South Kitsap"
73,"Kingston UGA",35,"Kitsap","North Kitsap","Central, North, and South Kitsap"
71,"Poulsbo",35,"Kitsap","North Kitsap","Central, North, and South Kitsap"
72,"Poulsbo PUTA",35,"Kitsap","North Kitsap","Central, North, and South Kitsap"
121,"Marysville UGA",61,"Snohomish","NW Snohomish","NW Snohomish"
123,"Stanwood",61,"Snohomish","NW Snohomish","NW Snohomish"
130,"Stanwood UGA",61,"Snohomish","NW Snohomish","NW Snohomish"
77,"Gig Harbor",53,"Pierce","Peninsula","Peninsula and Tacoma"
138,"Auburn",53,"Pierce","Pierce Other","Pierce Other (1)"
89,"Bonney Lake",53,"Pierce","Pierce Other","Pierce Other (1)"
92,"Buckley",53,"Pierce","Pierce Other","Pierce Other (1)"
91,"Carbonado",53,"Pierce","Pierce Other","Pierce Other (2)"
84,"Eatonville",53,"Pierce","Pierce Other","Pierce Other (2)"
87,"Edgewood",53,"Pierce","Pierce Other","Pierce Other (1)"
141,"Milton",53,"Pierce","Pierce Other","Pierce Other (1)"
86,"Orting",53,"Pierce","Pierce Other","Pierce Other (2)"
142,"Pacific",53,"Pierce","Pierce Other","Pierce Other (1)"
85,"Puyallup",53,"Pierce","Pierce Other","Pierce Other (2)"
78,"Roy",53,"Pierce","Pierce Other","Pierce Other (2)"
90,"South Prairie",53,"Pierce","Pierce Other","Pierce Other (2)"
88,"Sumner",53,"Pierce","Pierce Other","Pierce Other (1)"
53,"UU",53,"Pierce","Pierce Other","Pierce Other (2)"
93,"Wilkeson",53,"Pierce","Pierce Other","Pierce Other (2)"
35,"Black Diamond",33,"King","SE King","SE King and King Other"
45,"Black Diamond PAA",33,"King","SE King","SE King and King Other"
16,"Covington",33,"King","SE King","SE King and King Other"
17,"Enumclaw",33,"King","SE King","SE King and King Other"
42,"Maple Valley",33,"King","SE King","SE King and King Other"
6,"Renton PAA",33,"King","SE King","SE King and King Other"
9,"Seattle",33,"King","Seattle","Seattle and Shoreline"
62,"Seattle PAA",33,"King","Seattle","Seattle and Shoreline"
