"faz_id"	"Name"	"LARGE_AREA"	"County"
5815	"Lower Duwamish / Boeing Field"	"Seattle"	"King"
5825	"Industrial District "	"Seattle"	"King"
5826	"Upper Duwamish / Harbor Island"	"Seattle"	"King"
5915	"Rainier Beach "	"Seattle"	"King"
5916	"South Beacon Hill / Columbia"	"Seattle"	"King"
5925	"North Beacon Hill / Mount Baker"	"Seattle"	"King"
6010	"Seattle CBD "	"Seattle"	"King"
6020	"Denny Regrade "	"Seattle"	"King"
6113	"First Hill / Broadway "	"Seattle"	"King"
6114	"East Capitol Hill / Central Area"	"Seattle"	"King"
6115	"North Capitol Hill / Madison Park"	"Seattle"	"King"
6123	"Lake Union / Seattle Center"	"Seattle"	"King"
6124	"Queen Anne "	"Seattle"	"King"
6125	"Interbay "	"Seattle"	"King"
6126	"Magnolia "	"Seattle"	"King"
6213	"Wallingford / Fremont "	"Seattle"	"King"
6214	"University Of Washington "	"Seattle"	"King"
6215	"Ravenna / University District"	"Seattle"	"King"
6216	"Windermere / Laurelhurst "	"Seattle"	"King"
6223	"Lake City "	"Seattle"	"King"
6224	"Green Lake "	"Seattle"	"King"
6225	"Northgate "	"Seattle"	"King"
6226	"Wedgewood / View Ridge "	"Seattle"	"King"
6316	"Ballard "	"Seattle"	"King"
6325	"Greenwood / Crown Hill "	"Seattle"	"King"
6326	"Broadview / Haller Lake "	"Seattle"	"King"
6410	"Richmond Highlands "	"Shoreline"	"King"
6420	"North City "	"Shoreline"	"King"
6505	"Fall City area / Preston area"	"King Other"	"King"
6506	"North Bend area / Snoqualmie area"	"King Other"	"King"
6605	"Duvall area"	"King Other"	"King"
6606	"Carnation area"	"King Other"	"King"
6900	"Cumberland / Southeast King County"	"King Other"	"King"
6910	"East King County "	"King Other"	"King"
6930	"Vashon Island "	"SW King"	"King"
7015	"Woodway area / Esperance "	"SW Snohomish"	"Snohomish"
7025	"Edmonds South "	"SW Snohomish"	"Snohomish"
7026	"Edmonds North "	"SW Snohomish"	"Snohomish"
7100	"Mountlake Terrace area"	"SW Snohomish"	"Snohomish"
7205	"Lynnwood West "	"SW Snohomish"	"Snohomish"
7206	"Lynnwood East "	"SW Snohomish"	"Snohomish"
7315	"Brier area"	"SW Snohomish"	"Snohomish"
7316	"Hilltop "	"SW Snohomish"	"Snohomish"
7320	"North Creek "	"SW Snohomish"	"Snohomish"
7335	"Mill Creek area / Silver Lake "	"SW Snohomish"	"Snohomish"
7340	"Eastmont "	"SW Snohomish"	"Snohomish"
7415	"Canyon Park "	"SW Snohomish"	"Snohomish"
7425	"Clearview / Silver Firs / Snohomish Cascade"	"SW Snohomish"	"Snohomish"
7435	"Maltby / High Bridge "	"SW Snohomish"	"Snohomish"
7436	"Cathcart "	"SW Snohomish"	"Snohomish"
7515	"Alderwood Mall "	"SW Snohomish"	"Snohomish"
7525	"Lake Serene / Norma Beach "	"SW Snohomish"	"Snohomish"
7526	"Harbour Pointe "	"SW Snohomish"	"Snohomish"
7535	"Swamp Creek "	"SW Snohomish"	"Snohomish"
7537	"Paine Field "	"Everett"	"Snohomish"
7605	"South Snohomish Valley "	"Everett"	"Snohomish"
7606	"North Snohomish Valley "	"Everett"	"Snohomish"
7700	"Snohomish area"	"Everett"	"Snohomish"
7805	"Machias / Cavalero Corner "	"Everett"	"Snohomish"
7806	"Fobes Hill "	"Everett"	"Snohomish"
7905	"Lake Stevens area / Frontier Village"	"Everett"	"Snohomish"
8000	"Mukilteo area / Southwest Everett"	"Everett"	"Snohomish"
8115	"Everett Mall "	"Everett"	"Snohomish"
8125	"Forest Park / Beverly Park"	"Everett"	"Snohomish"
8126	"Pinehurst / Lowell "	"Everett"	"Snohomish"
8210	"Everett CBD "	"Everett"	"Snohomish"
8220	"North Everett "	"Everett"	"Snohomish"
8310	"Marysville area"	"Everett"	"Snohomish"
8320	"North Marysville / Smokey Point"	"Everett"	"Snohomish"
8405	"Getchell Hill "	"Everett"	"Snohomish"
8406	"Sisco Heights "	"Everett"	"Snohomish"
8500	"Arlington area"	"Everett"	"Snohomish"
8600	"Monroe area "	"Snohomish Other"	"Snohomish"
8905	"Meadow Lake / Woods Creek "	"Snohomish Other"	"Snohomish"
8906	"Three Lakes "	"Snohomish Other"	"Snohomish"
8910	"Skykomish Valley "	"Snohomish Other"	"Snohomish"
8925	"Granite Falls area"	"Snohomish Other"	"Snohomish"
8926	"Oso / Darrington area"	"Snohomish Other"	"Snohomish"
8927	"Bryant "	"NW Snohomish"	"Snohomish"
8935	"Stanwood area"	"NW Snohomish"	"Snohomish"
8936	"Lakewood / Warm Beach "	"NW Snohomish"	"Snohomish"
8937	"Tulalip "	"NW Snohomish"	"Snohomish"
9002	"Port Orchard area"	"South Kitsap"	"Kitsap"
9004	"Gorst / Burley / Glenwood "	"South Kitsap"	"Kitsap"
9005	"Gold Mountain / Holly "	"Central Kitsap"	"Kitsap"
9006	"Seabeck / Olympic View "	"Central Kitsap"	"Kitsap"
9009	"Keyport / Brownsville "	"Central Kitsap"	"Kitsap"
9011	"Poulsbo area"	"North Kitsap"	"Kitsap"
9015	"Southworth / Manchester "	"South Kitsap"	"Kitsap"
9016	"Ollala "	"South Kitsap"	"Kitsap"
9017	"Erlands Point / Chico "	"Central Kitsap"	"Kitsap"
9018	"Silverdale area"	"Central Kitsap"	"Kitsap"
9019	"Port Gamble area / Suquamish "	"North Kitsap"	"Kitsap"
9020	"Kingston area"	"North Kitsap"	"Kitsap"
9900	"Sheridan "	"Central Kitsap"	"Kitsap"
9901	"Kitsap Lake "	"Central Kitsap"	"Kitsap"
9902	"West Bremerton / CBD "	"Central Kitsap"	"Kitsap"
9904	"Manette / View Ridge "	"Central Kitsap"	"Kitsap"
9908	"Bangor "	"Central Kitsap"	"Kitsap"
9909	"Clear Creek "	"Central Kitsap"	"Kitsap"
9913	"Winslow area"	"North Kitsap"	"Kitsap"
9914	"Bainbridge Island (rest of island)"	"North Kitsap"	"Kitsap"
9915	"Tracyton "	"Central Kitsap"	"Kitsap"
9916	"Illahee "	"Central Kitsap"	"Kitsap"
