"faz_id"	"Name"	"LARGE_AREA"	"County"
110	"Tillicum / American Lakes Gardens"	"SW Pierce"	"Pierce"
120	"Steilacoom area / Ketron "	"SW Pierce"	"Pierce"
135	"Lakes "	"SW Pierce"	"Pierce"
136	"Fort Steilacoom"	"SW Pierce"	"Pierce"
205	"Monte Vista / Flett "	"SW Pierce"	"Pierce"
206	"Lakewood area / Ponders Corner "	"SW Pierce"	"Pierce"
315	"Parkland "	"Pierce Other"	"Pierce"
325	"Midland "	"Pierce Other"	"Pierce"
405	"Spanaway / Lake Park "	"Pierce Other"	"Pierce"
505	"Frederickson / Berkeley "	"Pierce Other"	"Pierce"
506	"Thun Field "	"Pierce Other"	"Pierce"
605	"Clover Creek "	"Pierce Other"	"Pierce"
606	"South Hill "	"Pierce Other"	"Pierce"
705	"Orting / Prairie Ridge "	"Pierce Other"	"Pierce"
706	"Buckley / S. Prairie / Wilkeson / Carbonado area"	"Pierce Other"	"Pierce"
805	"Bonney Lake area"	"Pierce Other"	"Pierce"
806	"Lake Tapps / Dieringer "	"Pierce Other"	"Pierce"
900	"Sumner area"	"Pierce Other"	"Pierce"
1000	"Lidford "	"Pierce Other"	"Pierce"
1115	"Summit "	"Pierce Other"	"Pierce"
1116	"Puyallup CBD "	"Pierce Other"	"Pierce"
1120	"Wildwood / Shaw Road "	"Pierce Other"	"Pierce"
1130	"North Puyallup"	"Pierce Other"	"Pierce"
1200	"Milton area / Edgewood area"	"Pierce Other"	"Pierce"
1310	"Fern Hill "	"Tacoma"	"Pierce"
1320	"Lincoln "	"Tacoma"	"Pierce"
1330	"Mckinley / Portland "	"Tacoma"	"Pierce"
1410	"Orchard / Manitou "	"Tacoma"	"Pierce"
1420	"Tacoma Mall / South Tacoma"	"Tacoma"	"Pierce"
1505	"Fircrest area"	"SW Pierce"	"Pierce"
1506	"University Park / Menlo Park"	"SW Pierce"	"Pierce"
1605	"West End "	"Tacoma"	"Pierce"
1606	"Ruston / Point Defiance "	"Tacoma"	"Pierce"
1710	"Central "	"Tacoma"	"Pierce"
1720	"North Tacoma area"	"Tacoma"	"Pierce"
1810	"Tacoma CBD / Union Station"	"Tacoma"	"Pierce"
1820	"Tacoma CBD / Stadium "	"Tacoma"	"Pierce"
1900	"Port Of Tacoma "	"Tacoma"	"Pierce"
2000	"Fife area"	"Tacoma"	"Pierce"
2100	"Northeast Tacoma area"	"Tacoma"	"Pierce"
2215	"Fox Island / Tacoma Airport"	"Peninsula"	"Pierce"
2216	"Purdy / Rosedale / Arletta"	"Peninsula"	"Pierce"
2225	"Gig Harbor area"	"Peninsula"	"Pierce"
2910	"East Pierce County "	"Pierce Other"	"Pierce"
2925	"Roy area"	"Pierce Other"	"Pierce"
2926	"Graham area"	"Pierce Other"	"Pierce"
2927	"Eatonville / Ashford / Elbe area"	"Pierce Other"	"Pierce"
2935	"Fort Lewis / McChord "	"SW Pierce"	"Pierce"
2936	"Dupont area"	"SW Pierce"	"Pierce"
2940	"Key Peninsula / Islands "	"Peninsula"	"Pierce"
3010	"Twin Lakes "	"SW King"	"King"
3020	"Central Federal Way "	"SW King"	"King"
3030	"Lakeland "	"SW King"	"King"
3045	"Redondo / Woodmont "	"SW King"	"King"
3046	"Des Moines area"	"SW King"	"King"
3110	"Algona area / Pacific area"	"Green River"	"King"
3120	"Auburn South "	"Green River"	"King"
3130	"Auburn North "	"Green River"	"King"
3200	"Enumclaw Plateau "	"SE King"	"King"
3310	"Black Diamond / Lake Sawyer"	"SE King"	"King"
3320	"Covington area / Timberlane "	"SE King"	"King"
3330	"Maple Valley area / Hobart "	"SE King"	"King"
3413	"Lake Youngs "	"SE King"	"King"
3414	"Kentridge "	"SE King"	"King"
3415	"Panther Lake "	"SE King"	"King"
3416	"Fairwood "	"SE King"	"King"
3425	"Lake Heights "	"SE King"	"King"
3426	"Southwest Soos Creek "	"SE King"	"King"
3427	"Lake Meridian "	"SE King"	"King"
3505	"Kent CBD / Kent East Hill "	"Green River"	"King"
3600	"Kent Industrial "	"Green River"	"King"
3705	"Sea-Tac area"	"SW King"	"King"
3706	"Normandy Park area"	"SW King"	"King"
3815	"Burien area / Seahurst "	"SW King"	"King"
3816	"White Center / Shorewood "	"SW King"	"King"
3825	"Boulevard Park "	"SW King"	"King"
3900	"South Tukwila "	"Green River"	"King"
3905	"North Tukwila / Riverton "	"Green River"	"King"
4005	"Skyway / Bryn Mawr "	"Green River"	"King"
4110	"Renton Industrial "	"Green River"	"King"
4120	"Renton Highlands "	"Green River"	"King"
4130	"Renton Airport / CBD "	"Green River"	"King"
4210	"East Renton "	"SE King"	"King"
4225	"Cougar Mountain "	"Eastside King"	"King"
4226	"Newport Hills "	"Eastside King"	"King"
4230	"Renton Plateau "	"SE King"	"King"
4300	"Issaquah area"	"Eastside King"	"King"
4400	"Mercer Island"	"Eastside King"	"King"
4505	"South Bellevue "	"Eastside King"	"King"
4506	"Eastgate / Vasa Park "	"Eastside King"	"King"
4605	"Klahanie / Pine Lake "	"Eastside King"	"King"
4606	"Sahalee "	"Eastside King"	"King"
4607	"Beaver Lake "	"Eastside King"	"King"
4706	"North Bear Creek "	"Eastside King"	"King"
4810	"West Bellevue "	"Eastside King"	"King"
4820	"Northwest Bellevue "	"Eastside King"	"King"
4900	"Bellevue CBD "	"Eastside King"	"King"
5010	"Central Bellevue "	"Eastside King"	"King"
5020	"East Bellevue / Lake Hills"	"Eastside King"	"King"
5100	"Point Cities area"	"Eastside King"	"King"
5205	"North  Bellevue "	"Eastside King"	"King"
5305	"Kirkland area / Houghton "	"Eastside King"	"King"
5306	"Kirkland area / Totem Lake "	"Eastside King"	"King"
5415	"Redmond area / Overlake "	"Eastside King"	"King"
5425	"Redmond CBD "	"Eastside King"	"King"
5426	"Redmond area / Union Hill "	"Eastside King"	"King"
5515	"Juanita / Finn Hill "	"Eastside King"	"King"
5525	"Norway Hill / North Kingsgate"	"Eastside King"	"King"
5535	"Kenmore area / Inglewood "	"Eastside King"	"King"
5545	"Kingsgate / Hollywood Hill"	"Eastside King"	"King"
5546	"Woodinville area"	"Eastside King"	"King"
5600	"Bothell area"	"Eastside King"	"King"
5715	"Fauntleroy / Arbor Heights"	"Seattle"	"King"
5716	"Delridge / Highland Park "	"Seattle"	"King"
5720	"Alki / Admiral "	"Seattle"	"King"
