census_2010_tract_id,city_id,count,tractcity_id
53033027800,1,144,1
53033027900,1,1,2
53033028600,1,2312,3
53033028901,1,54,4
53033990100,1,1,5
53033029601,2,59,6
53033029602,2,1648,7
53033029700,2,81,8
53033029802,2,464,9
53033029902,2,1871,10
53033030401,2,142,11
53033030501,2,972,12
53033030503,2,1084,13
53033030504,2,801,14
53033030600,2,1752,15
53033030700,2,964,16
53033030801,2,441,17
53033030802,2,961,18
53033030901,2,2,19
53033031000,2,1579,20
53033031100,2,1414,21
53033031202,2,379,22
53033031204,2,1,23
53033031205,2,1814,24
53033031206,2,1035,25
53053070315,2,2,26
53053070316,2,1,27
53033021904,3,1,28
53033025005,3,3,29
53033025006,3,375,30
53033025102,3,446,31
53033027701,3,3835,32
53033027702,3,4205,33
53033029307,3,126,34
53033029700,3,34,35
53033029801,3,38,36
53033029802,3,17,37
53033030501,3,7,38
53033030503,3,1,39
53033030600,3,13,40
53033031100,3,18,41
53033031202,3,2174,42
53033031204,3,2731,43
53033031206,3,13,44
53033031301,3,848,45
53033031302,3,276,46
53033031400,3,52,47
53033031501,3,2298,48
53033031502,3,3093,49
53033031601,3,1595,50
53033031603,3,983,51
53033031604,3,1,52
53033031605,3,568,53
53033031703,3,23,54
53033031704,3,98,55
53033031705,3,135,56
53033031800,3,1266,57
53033031903,3,720,58
53033031904,3,1559,59
53033031906,3,837,60
53033031907,3,7,61
53033031909,3,2,62
53033032002,3,1543,63
53033032003,3,2528,64
53033032005,3,273,65
53033032006,3,953,66
53033032007,3,597,67
53033032008,3,17,68
53033032010,3,46,69
53033032102,3,2272,70
53033032104,3,634,71
53033032210,3,1134,72
53033032213,3,20,73
53033032214,3,15,74
53033032215,3,204,75
53033032307,3,2441,76
53033032311,3,2316,77
53033032313,3,362,78
53033032315,3,2498,79
53033032316,3,50,80
53033032318,3,100,81
53033032319,3,35,82
53033032320,3,1046,83
53033032321,3,892,84
53033032322,3,493,85
53033032326,3,1292,86
53033032327,3,691,87
53033032328,3,1230,88
53033032329,3,463,89
53033032401,3,1481,90
53033032402,3,1139,91
53033032500,3,2126,92
53033032601,3,1392,93
53033032602,3,838,94
