area_type_id	district_id	faz_id	zone_id
4	2	2927	3466
4	2	2927	3464
4	2	2927	3465
4	2	2927	3463
4	2	2910	3448
4	2	2927	3449
4	2	2925	3461
4	2	2910	3447
4	2	2925	3460
4	2	2925	3462
4	2	2926	3451
4	2	2925	3457
4	2	2926	3452
4	2	2925	3453
4	2	2925	3459
4	2	2926	3450
4	2	2925	3454
4	2	2925	3456
4	2	2926	3442
4	2	2925	3458
4	1	2935	3355
4	2	2925	3439
4	2	2910	3445
4	2	2925	3455
4	2	2926	3443
4	2	2926	3444
4	2	2926	3441
4	1	2935	3357
4	2	2926	3440
4	2	2926	3438
4	1	2935	3354
4	2	505	3431
4	2	505	3437
4	2	506	3426
4	2	2910	3446
4	2	505	3433
4	2	2926	3423
4	2	505	3428
4	2	505	3429
4	2	405	3436
4	1	2935	3356
4	1	2935	3353
4	2	505	3434
4	2	705	3422
4	2	2910	3421
4	2	506	3424
4	2	505	3430
4	2	506	3425
4	2	505	3432
4	2	706	3420
4	2	505	3427
4	2	405	3435
4	1	2935	3352
4	1	2935	3077
4	1	2936	3076
4	2	705	3412
4	1	2935	3351
4	2	505	3405
4	2	505	3408
4	2	505	3406
4	1	2936	3075
4	2	405	3398
4	2	405	3402
4	1	2935	3350
4	2	405	3400
4	2	506	3410
4	2	506	3409
4	2	706	3419
4	1	2935	3349
4	2	705	3413
4	2	605	3404
4	1	2936	3074
4	2	405	3397
4	2	506	3411
4	2	605	3403
4	2	706	3417
4	2	505	3407
4	2	405	3399
4	2	605	3401
4	2	705	3415
4	2	606	3385
4	2	506	3380
4	1	2936	3073
4	1	110	3060
4	2	706	3418
4	2	605	3390
4	1	110	3061
4	2	505	3382
4	2	606	3386
4	1	2935	3346
4	1	110	3347
4	2	605	3393
4	2	315	3395
4	2	506	3379
4	2	606	3383
4	2	605	3387
4	2	605	3389
4	2	315	3396
4	2	606	3384
4	2	706	3302
4	1	2935	3070
4	2	506	3377
4	2	1120	3378
4	2	605	3391
4	2	606	3381
4	2	315	3392
4	1	2935	3348
4	2	315	3394
4	2	605	3388
4	2	705	3416
4	1	2935	3071
4	2	705	3414
4	1	135	3059
4	2	1120	3376
4	1	135	3067
4	2	605	3368
4	2	315	3366
4	2	315	3364
4	1	206	3054
4	1	206	3345
4	1	135	3064
4	2	315	3362
4	2	706	3305
4	2	606	3374
4	2	606	3373
4	2	606	3372
4	2	606	3371
4	2	605	3370
4	2	605	3369
4	1	135	3066
4	2	706	3303
4	2	1120	3375
4	2	315	3359
4	1	135	3058
4	1	135	3063
4	1	135	3056
4	1	206	3055
4	2	315	3361
4	2	1120	3312
4	2	325	3367
4	2	315	3365
4	2	315	3363
4	1	206	3052
4	2	705	3311
4	1	120	3069
4	2	315	3360
4	1	135	3057
4	2	315	3358
4	1	135	3062
4	2	805	3306
4	1	206	3053
4	1	135	3065
4	2	805	3307
4	2	706	3304
4	2	1115	3322
4	2	1115	3319
4	2	1115	3317
4	2	605	3325
4	2	605	3328
4	1	120	3068
4	2	806	3309
4	2	325	3330
4	2	325	3334
4	2	706	3301
4	2	315	3338
4	1	206	3051
4	2	805	3308
4	2	315	3341
4	2	325	3333
2	5	6900	2080
4	2	1115	3321
4	1	205	3050
4	1	206	3047
4	1	135	3044
4	2	605	3324
4	1	2940	2693
4	2	605	3327
4	2	1120	3313
4	1	120	3040
4	2	706	3300
4	2	1120	3314
4	1	120	3038
4	1	135	3043
4	2	1120	3315
4	1	135	3042
4	2	806	3310
4	1	2935	3344
4	2	325	3337
4	2	325	3340
4	1	135	3041
4	2	325	3332
4	2	1115	3318
4	2	1115	3316
4	1	205	3049
4	2	325	3329
4	1	206	3048
4	1	206	3046
4	2	325	3335
4	2	1115	3320
4	1	120	3039
4	2	1000	3326
4	2	1000	3323
4	2	325	3331
4	2	325	3343
4	1	135	3045
4	1	120	3072
4	1	135	3028
4	1	120	3037
4	2	325	3336
4	2	1120	3292
4	2	325	3339
4	2	325	3342
4	1	205	3017
4	1	135	3026
4	2	805	3297
4	2	706	3299
4	1	120	3035
