"TAZ"	"COUNTY_FIP"	"COUNTY_NM"
259	33	"King"
260	33	"King"
261	33	"King"
262	33	"King"
263	33	"King"
264	33	"King"
265	33	"King"
266	33	"King"
267	33	"King"
268	33	"King"
269	33	"King"
270	33	"King"
271	33	"King"
272	33	"King"
273	33	"King"
274	33	"King"
275	33	"King"
276	33	"King"
277	33	"King"
278	33	"King"
279	33	"King"
280	33	"King"
281	33	"King"
282	33	"King"
283	33	"King"
284	33	"King"
285	33	"King"
286	33	"King"
287	33	"King"
288	33	"King"
289	33	"King"
290	33	"King"
291	33	"King"
292	33	"King"
293	33	"King"
294	33	"King"
295	33	"King"
296	33	"King"
297	33	"King"
298	33	"King"
299	33	"King"
300	33	"King"
301	33	"King"
302	33	"King"
303	33	"King"
304	33	"King"
305	33	"King"
306	33	"King"
307	33	"King"
308	33	"King"
309	33	"King"
310	33	"King"
311	33	"King"
312	33	"King"
313	33	"King"
314	33	"King"
315	33	"King"
316	33	"King"
317	33	"King"
318	33	"King"
319	33	"King"
320	33	"King"
321	33	"King"
322	33	"King"
323	33	"King"
324	33	"King"
325	33	"King"
326	33	"King"
327	33	"King"
328	33	"King"
329	33	"King"
330	33	"King"
331	33	"King"
332	33	"King"
333	33	"King"
334	33	"King"
335	33	"King"
336	33	"King"
337	33	"King"
338	33	"King"
339	33	"King"
340	33	"King"
341	33	"King"
342	33	"King"
343	33	"King"
344	33	"King"
345	33	"King"
346	33	"King"
347	33	"King"
348	33	"King"
349	33	"King"
350	33	"King"
351	33	"King"
352	33	"King"
353	33	"King"
354	33	"King"
355	33	"King"
356	33	"King"
357	33	"King"
358	33	"King"
359	33	"King"
360	33	"King"
361	33	"King"
362	33	"King"
363	33	"King"
364	33	"King"
365	33	"King"
366	33	"King"
367	33	"King"
368	33	"King"
369	33	"King"
370	33	"King"
371	33	"King"
372	33	"King"
373	33	"King"
374	33	"King"
375	33	"King"
376	33	"King"
377	33	"King"
378	33	"King"
379	33	"King"
380	33	"King"
381	33	"King"
382	33	"King"
383	33	"King"
384	33	"King"
385	33	"King"
386	33	"King"
387	33	"King"
388	33	"King"
389	33	"King"
390	33	"King"
391	33	"King"
392	33	"King"
393	33	"King"
394	33	"King"
395	33	"King"
396	33	"King"
397	33	"King"
398	33	"King"
399	33	"King"
