"city_id","income_max","income_min","persons_max","persons_min","total_number_of_households","workers_max","workers_min","year"
-1,74999,50000,5,5,4985,1,1,2016
-1,99999,75000,5,5,5737,1,1,2016
-1,-1,1e+05,5,5,12377,1,1,2016
-1,49999,0,5,5,5745,2,2,2016
-1,74999,50000,5,5,5879,2,2,2016
-1,99999,75000,5,5,5807,2,2,2016
-1,-1,1e+05,5,5,15919,2,2,2016
-1,49999,0,5,5,892,3,3,2016
-1,74999,50000,5,5,1853,3,3,2016
-1,99999,75000,5,5,1856,3,3,2016
-1,-1,1e+05,5,5,5515,3,3,2016
-1,49999,0,5,5,178,-1,4,2016
-1,74999,50000,5,5,444,-1,4,2016
-1,99999,75000,5,5,692,-1,4,2016
-1,-1,1e+05,5,5,4728,-1,4,2016
-1,49999,0,6,6,1477,0,0,2016
-1,74999,50000,6,6,99,0,0,2016
-1,99999,75000,6,6,147,0,0,2016
-1,-1,1e+05,6,6,197,0,0,2016
-1,49999,0,6,6,4897,1,1,2016
-1,74999,50000,6,6,2093,1,1,2016
-1,99999,75000,6,6,1643,1,1,2016
-1,-1,1e+05,6,6,3427,1,1,2016
-1,49999,0,6,6,2328,2,2,2016
-1,74999,50000,6,6,2076,2,2,2016
-1,99999,75000,6,6,1796,2,2,2016
-1,-1,1e+05,6,6,4969,2,2,2016
-1,49999,0,6,6,727,3,3,2016
-1,74999,50000,6,6,850,3,3,2016
-1,99999,75000,6,6,1067,3,3,2016
-1,-1,1e+05,6,6,2515,3,3,2016
-1,49999,0,6,6,146,-1,4,2016
-1,74999,50000,6,6,323,-1,4,2016
-1,99999,75000,6,6,726,-1,4,2016
-1,-1,1e+05,6,6,3034,-1,4,2016
-1,49999,0,-1,7,1106,0,0,2016
-1,74999,50000,-1,7,137,0,0,2016
-1,-1,1e+05,-1,7,81,0,0,2016
-1,49999,0,-1,7,2721,1,1,2016
-1,74999,50000,-1,7,1655,1,1,2016
-1,99999,75000,-1,7,1007,1,1,2016
-1,-1,1e+05,-1,7,1767,1,1,2016
-1,49999,0,-1,7,1633,2,2,2016
-1,74999,50000,-1,7,1932,2,2,2016
-1,99999,75000,-1,7,486,2,2,2016
-1,-1,1e+05,-1,7,2163,2,2,2016
-1,49999,0,-1,7,531,3,3,2016
-1,74999,50000,-1,7,724,3,3,2016
-1,99999,75000,-1,7,765,3,3,2016
-1,-1,1e+05,-1,7,2303,3,3,2016
-1,49999,0,-1,7,52,-1,4,2016
