tractcity_2014, element, target_value
1076, 'job.home_based_status==0', 1564
1087, 'job.home_based_status==0', 34
1107, 'job.home_based_status==0', 636
1109, 'job.home_based_status==0', 241
1110, 'job.home_based_status==0', 417
1118, 'job.home_based_status==0', 1979
1126, 'job.home_based_status==0', 326
1142, 'job.home_based_status==0', 75
1142, 'job.home_based_status==0', 1137
1143, 'job.home_based_status==0', 991
1144, 'job.home_based_status==0', 1790
1145, 'job.home_based_status==0', 1262
1146, 'job.home_based_status==0', 500
1147, 'job.home_based_status==0', 1135
1148, 'job.home_based_status==0', 551
1148, 'job.home_based_status==0', 944
1173, 'job.home_based_status==0', 2837
1174, 'job.home_based_status==0', 3549
1175, 'job.home_based_status==0', 1293
1176, 'job.home_based_status==0', 2817
1177, 'job.home_based_status==0', 619
1178, 'job.home_based_status==0', 9168
1179, 'job.home_based_status==0', 4787
1180, 'job.home_based_status==0', 546
1181, 'job.home_based_status==0', 3228
1182, 'job.home_based_status==0', 2221
1183, 'job.home_based_status==0', 557
1184, 'job.home_based_status==0', 3081
1186, 'job.home_based_status==0', 695
1187, 'job.home_based_status==0', 642
1188, 'job.home_based_status==0', 1361
1189, 'job.home_based_status==0', 188
1190, 'job.home_based_status==0', 266
1191, 'job.home_based_status==0', 641
1192, 'job.home_based_status==0', 645
1193, 'job.home_based_status==0', 1101
1194, 'job.home_based_status==0', 3564
1195, 'job.home_based_status==0', 1338
1196, 'job.home_based_status==0', 381
1198, 'job.home_based_status==0', 1989
1199, 'job.home_based_status==0', 3140
1200, 'job.home_based_status==0', 2452
1201, 'job.home_based_status==0', 3
1202, 'job.home_based_status==0', 3
1220, 'job.home_based_status==0', 2554
1221, 'job.home_based_status==0', 2757
1225, 'job.home_based_status==0', 1804
1242, 'job.home_based_status==0', 1215
1245, 'job.home_based_status==0', 1120
1246, 'job.home_based_status==0', 1992
1339, 'job.home_based_status==0', 3
1348, 'job.home_based_status==0', 2826
1349, 'job.home_based_status==0', 1012
1404, 'job.home_based_status==0', 2826
3, 'job.home_based_status==0', 217
48, 'job.home_based_status==0', 376
49, 'job.home_based_status==0', 406
70, 'job.home_based_status==0', 892
95, 'job.home_based_status==0', 432
98, 'job.home_based_status==0', 250
100, 'job.home_based_status==0', 572
102, 'job.home_based_status==0', 530
186, 'job.home_based_status==0', 29147
187, 'job.home_based_status==0', 13015
188, 'job.home_based_status==0', 368
189, 'job.home_based_status==0', 286
190, 'job.home_based_status==0', 10287
191, 'job.home_based_status==0', 615
192, 'job.home_based_status==0', 485
193, 'job.home_based_status==0', 1369
194, 'job.home_based_status==0', 14613
207, 'job.home_based_status==0', 13849
222, 'job.home_based_status==0', 1436
223, 'job.home_based_status==0', 1257
224, 'job.home_based_status==0', 697
231, 'job.home_based_status==0', 3752
235, 'job.home_based_status==0', 10403
237, 'job.home_based_status==0', 3094
247, 'job.home_based_status==0', 3546
248, 'job.home_based_status==0', 5235
249, 'job.home_based_status==0', 28949
262, 'job.home_based_status==0', 13200
269, 'job.home_based_status==0', 60777
291, 'job.home_based_status==0', 53089
320, 'job.home_based_status==0', 907
321, 'job.home_based_status==0', 1293
331, 'job.home_based_status==0', 13015
376, 'job.home_based_status==0', 487
377, 'job.home_based_status==0', 581
378, 'job.home_based_status==0', 2480
379, 'job.home_based_status==0', 204
380, 'job.home_based_status==0', 1486
381, 'job.home_based_status==0', 2944
382, 'job.home_based_status==0', 1449
383, 'job.home_based_status==0', 15268
384, 'job.home_based_status==0', 8791
386, 'job.home_based_status==0', 515
387, 'job.home_based_status==0', 12532
388, 'job.home_based_status==0', 2513
389, 'job.home_based_status==0', 1069
390, 'job.home_based_status==0', 44213
391, 'job.home_based_status==0', 7707
392, 'job.home_based_status==0', 16583
393, 'job.home_based_status==0', 61710
394, 'job.home_based_status==0', 668
395, 'job.home_based_status==0', 7336
396, 'job.home_based_status==0', 1154
398, 'job.home_based_status==0', 12542
399, 'job.home_based_status==0', 753
400, 'job.home_based_status==0', 422
401, 'job.home_based_status==0', 627
403, 'job.home_based_status==0', 716
405, 'job.home_based_status==0', 102
475, 'job.home_based_status==0', 338
476, 'job.home_based_status==0', 564
478, 'job.home_based_status==0', 1513
479, 'job.home_based_status==0', 542
480, 'job.home_based_status==0', 3294
481, 'job.home_based_status==0', 4041
482, 'job.home_based_status==0', 466
483, 'job.home_based_status==0', 250
484, 'job.home_based_status==0', 580
485, 'job.home_based_status==0', 2268
486, 'job.home_based_status==0', 1074
487, 'job.home_based_status==0', 733
488, 'job.home_based_status==0', 612
489, 'job.home_based_status==0', 15040
490, 'job.home_based_status==0', 5686
491, 'job.home_based_status==0', 7341
492, 'job.home_based_status==0', 254
497, 'job.home_based_status==0', 1075
502, 'job.home_based_status==0', 1585
505, 'job.home_based_status==0', 1166
515, 'job.home_based_status==0', 845
517, 'job.home_based_status==0', 462
518, 'job.home_based_status==0', 228
519, 'job.home_based_status==0', 522
520, 'job.home_based_status==0', 3040
521, 'job.home_based_status==0', 1619
522, 'job.home_based_status==0', 779
523, 'job.home_based_status==0', 195
524, 'job.home_based_status==0', 9339
525, 'job.home_based_status==0', 2193
526, 'job.home_based_status==0', 760
527, 'job.home_based_status==0', 1238
528, 'job.home_based_status==0', 217
540, 'job.home_based_status==0', 253
541, 'job.home_based_status==0', 5312
542, 'job.home_based_status==0', 2963
543, 'job.home_based_status==0', 370
544, 'job.home_based_status==0', 409
545, 'job.home_based_status==0', 439
560, 'job.home_based_status==0', 406
564, 'job.home_based_status==0', 572
565, 'job.home_based_status==0', 140
568, 'job.home_based_status==0', 270
569, 'job.home_based_status==0', 85
570, 'job.home_based_status==0', 530
