city_id	2000	2010
1	1613	2090
2	9885	8575
3	43280	39192
4	7882	8188
5	44	21
6	128149	127538
7	753	573
8	2878	4644
9	11270	13024
10	29401	30224
11	576	525
12	1914	2046
13	14895	12498
14	34	64
15	758	618
16	715	833
17	3332	5280
18	534	486
19	6823	6491
20	2737	3055
21	1241	1360
22	888	885
23	1921	1560
24	12506	13251
25	5014	4987
26	77791	85646
27	32915	31222
28	11381	12346
29	1449	1454
30	6353	9059
31	223	274
32	902	822
33	70	62
34	60	25
35	17117	20618
36	5746	4591
37	67458	65804
38	26864	25178
39	45065	39167
40	16005	17126
41	2249	2175
42	4041	5187
43	25389	24747
44	24156	24367
45	3410	3804
46	11464	13037
47	621	461
48	8150	7848
49	4377	5566
50	35	21
51	7431	8407
52	7410	7047
53	8071	9849
54	1504	2281
55	964	969
56	2597	3321
57	769	1146
58	912	843
59	20751	22953
60	6447	7191
61	5847	6110
62	19485	22051
63	77694	79669
64	62843	57407
65	219	181
66	193	143
67	7730	6352
68	32999	25643
69	543327	491966
70	18565	18261
71	9598	11101
72	109	71
73	4683	4857
74	16530	22250
75	1508	3421
76	89	69
77	2682	3219
78	908	1022
79	940	972
80	6462	9316
81	109364	102807
82	49773	44453
83	6511	6694
84	86	69
85	14120	11969
86	136	229
87	131	143
88	17302	18732
89	7767	9495
90	41007	49901
91	31680	35863
92	168	691
93	11576	13121
94	2156	1982
95	1512	1865
