"faz_id"	"city_id"
205	53
1410	53
205	59
1420	59
136	79
136	59
205	80
1410	79
1505	79
136	53
1506	53
136	74
1506	74
2215	77
1606	59
2215	53
1606	82
9016	29
2927	29
505	53
405	53
505	29
2926	29
2926	53
1000	29
605	53
605	29
325	53
325	29
325	59
315	53
325	79
606	53
405	75
2000	83
1900	59
2000	59
1900	83
1820	59
1810	59
1320	59
1330	59
1330	83
1330	29
1310	59
1000	59
1115	29
1000	53
1900	53
2927	84
2927	53
506	29
506	53
705	29
1120	29
1120	85
1120	53
1115	85
1115	53
606	85
705	86
1200	87
900	88
900	138
900	53
900	142
3110	53
900	87
2000	54
1200	53
1200	83
1200	88
1130	83
1130	53
1130	85
1116	53
1116	85
1130	88
1120	88
3010	54
805	29
805	89
706	89
805	53
806	89
806	53
705	89
705	53
706	90
806	138
3120	29
806	88
705	88
900	29
2910	91
706	91
2910	53
706	92
706	53
705	90
706	93
2910	93
1605	81
2926	75
1310	53
120	75
1605	80
7205	94
8125	95
7206	94
7315	96
7100	97
7015	98
8906	49
8905	49
7026	98
7525	99
7335	100
7100	101
7025	98
7315	102
7335	103
7515	94
7315	94
7515	102
7320	104
7205	102
7535	102
7320	103
7320	105
7316	105
7525	102
7320	139
7316	139
7315	101
7315	97
7315	105
8320	106
7535	107
7537	108
7525	108
7335	104
8115	109
7535	109
7340	109
8126	95
8925	49
8926	49
8406	49
8310	106
8210	95
8600	110
8905	110
7537	95
8500	111
7425	105
8500	49
7806	49
7605	49
7205	98
8936	49
7606	49
7436	49
8937	49
7700	112
7805	113
7805	49
8115	95
8935	49
8910	114
7015	115
7905	113
8926	116
8910	117
8220	95
7415	139
7015	118
7100	119
8000	120
8405	121
7425	49
8000	95
7805	122
8927	49
8600	49
7335	95
7425	100
8935	123
8500	124
7340	95
7435	49
8600	125
7806	126
7526	120
7425	127
7905	49
8910	128
7905	122
8405	49
7415	49
7806	112
7526	108
8905	125
7606	109
7606	95
7805	126
7805	112
7100	98
8936	106
8936	121
8925	129
8405	106
7335	109
8935	130
7606	106
8910	131
8320	111
7015	101
7435	132
7415	105
7320	100
7026	102
7525	94
7026	94
7205	99
7026	99
7700	49
7537	120
7525	120
7206	101
7605	109
7905	106
7436	132
6410	98
8925	133
7537	134
8910	135
7425	103
7340	127
7340	100
7100	96
8406	111
8910	95
7015	136
7415	132
7535	103
8126	49
7605	95
7700	126
7605	126
7340	49
8906	112
8905	95
8220	49
8925	112
8925	95
8320	49
8320	121
7606	121
8936	123
8406	124
8926	137
