"faz_id"	"city_id"
5546	3
3705	4
6410	5
4210	6
3426	7
3900	8
6113	9
6010	9
3130	2
3600	7
3600	10
5815	9
5916	9
5825	9
5925	9
3825	11
3905	8
4005	6
4130	6
4130	12
4005	8
3706	1
3505	3
5915	9
3825	8
5915	8
3505	10
3505	7
4110	8
4110	12
3200	3
5020	13
5515	14
6124	9
6114	9
6226	9
5720	9
3030	2
5425	15
3427	16
4900	13
6900	17
3200	2
3046	18
6900	3
4400	19
5715	9
3705	8
3905	4
4210	12
3320	16
3045	20
6123	9
5826	9
4607	21
6215	9
3120	2
6213	9
4300	22
5306	14
3815	23
4120	12
6224	9
4605	22
3010	20
3414	7
6325	9
4607	24
6420	5
3030	25
5535	26
3415	7
3825	23
6605	27
4605	21
6930	3
7316	26
5535	28
3200	17
6900	140
6900	29
706	29
706	140
5305	14
3310	3
6910	3
3427	3
3425	3
3816	11
4225	3
3413	6
3413	3
3330	3
6316	9
5716	9
5715	11
5426	15
6605	3
5426	3
6506	3
6505	3
6020	9
5546	30
6606	3
7435	30
7435	3
3110	31
3705	23
5415	15
3427	7
6326	9
5545	14
6115	9
6506	32
3415	6
6420	33
3706	23
5600	30
5545	34
5205	13
6126	9
3310	35
4506	13
3600	8
4210	3
4225	36
6505	37
4607	3
6216	9
5426	38
4706	3
3110	39
5525	14
3600	40
4820	13
3706	4
3706	18
5010	13
5100	41
5525	30
3425	2
4230	3
3020	20
6223	9
3705	18
4606	21
6225	9
3330	42
5415	13
5020	15
6125	9
3415	12
4226	43
4225	22
4810	13
3426	2
5600	28
3110	2
3600	4
4605	44
806	29
3415	3
4210	43
4300	3
5425	34
4225	13
4505	13
3310	45
3320	46
3310	46
3905	9
6506	37
4120	6
3045	18
3320	3
3816	9
3310	42
5525	28
5100	47
5100	48
4226	13
4706	15
8910	49
5545	3
5100	50
4810	51
3320	42
6214	9
3816	23
3416	12
6910	52
3413	7
3046	1
3416	6
2910	29
2100	53
4230	6
2100	20
3413	10
5425	14
3030	141
4606	3
5915	6
4005	9
4607	44
5426	34
6420	26
3030	46
4226	12
6606	55
2910	3
4005	12
3200	29
6910	32
4230	12
5515	26
3045	7
5415	34
5545	30
4110	6
3030	20
3046	7
3330	46
5425	13
4225	43
3130	3
3120	3
5305	46
3413	56
4506	22
3505	2
4607	22
3030	57
5545	15
1200	141
6900	35
4225	44
6910	37
5100	14
6410	9
3320	56
5305	13
4820	14
4606	24
2000	20
1200	54
2000	53
5815	11
5100	13
3413	46
4225	58
5535	14
3825	9
2100	59
3416	3
3330	22
4820	50
3310	7
3320	7
4706	38
4226	3
5716	11
3120	60
3815	1
806	2
900	2
1200	20
4120	43
3030	39
3120	39
900	39
3030	31
1200	46
3200	46
3505	25
1200	39
3030	3
4607	46
3030	61
7315	33
7315	26
4005	62
5915	62
806	3
5715	23
6420	9
3130	60
5305	47
9004	63
9016	63
2216	63
2940	63
9002	64
9004	65
9004	64
9005	63
9005	66
9004	67
9016	67
9002	67
9004	66
9005	65
9016	64
9015	63
9002	63
9916	68
9006	63
9904	68
9904	66
9904	65
9916	66
9900	65
9900	66
9915	66
9902	66
9017	63
9902	65
9901	63
9901	65
9901	66
9914	69
9015	67
9009	63
9018	63
9909	63
9909	70
9018	70
9009	70
9908	63
9916	63
9006	70
9009	68
9915	63
9915	68
9017	70
9913	69
9019	63
9019	71
9011	63
9019	72
9011	72
9011	71
9909	72
9020	63
9020	73
9019	69
2940	29
2936	29
2935	29
120	74
120	29
2935	75
2935	76
2215	29
2936	76
2216	77
2216	29
2216	53
2225	29
2225	53
2225	77
2925	29
2925	53
2925	78
2935	78
135	79
206	79
205	79
315	79
120	79
120	53
2935	53
2935	74
2935	79
110	79
110	75
1710	59
1720	59
1605	59
1506	80
1506	59
1505	80
1505	59
1505	81
1410	59
1505	53
