faz_id	Name
110	Tillicum / American Lakes Gardens
120	Steilacoom area / Ketron 
135	Lakes 
136	Fort Steilacoom
205	Monte Vista / Flett 
206	Lakewood area / Ponders Corner 
315	Parkland 
325	Midland 
405	Spanaway / Lake Park 
505	Frederickson / Berkeley 
506	Thun Field 
605	Clover Creek 
606	South Hill 
705	Orting / Prairie Ridge 
706	Buckley / S. Prairie / Wilkeson / Carbonado area
805	Bonney Lake area
806	Lake Tapps / Dieringer 
900	Sumner area
1000	Lidford 
1115	Summit 
1116	Puyallup CBD 
1120	Wildwood / Shaw Road 
1130	North Puyallup
1200	Milton area / Edgewood area
1310	Fern Hill 
1320	Lincoln 
1330	Mckinley / Portland 
1410	Orchard / Manitou 
1420	Tacoma Mall / South Tacoma
1505	Fircrest area
1506	University Park / Menlo Park
1605	West End 
1606	Ruston / Point Defiance 
1710	Central 
1720	North Tacoma area
1810	Tacoma CBD / Union Station
1820	Tacoma CBD / Stadium 
1900	Port Of Tacoma 
2000	Fife area
2100	Northeast Tacoma area
2215	Fox Island / Tacoma Airport
2216	Purdy / Rosedale / Arletta
2225	Gig Harbor area
2910	East Pierce County 
2925	Roy area
2926	Graham area
2927	Eatonville / Ashford / Elbe area
2935	Fort Lewis / McChord 
2936	Dupont area
2940	Key Peninsula / Islands 
3010	Twin Lakes 
3020	Central Federal Way 
3030	Lakeland 
3045	Redondo / Woodmont 
3046	Des Moines area
3110	Algona area / Pacific area
3120	Auburn South 
3130	Auburn North 
3200	Enumclaw Plateau 
3310	Black Diamond / Lake Sawyer
3320	Covington area / Timberlane 
3330	Maple Valley area / Hobart 
3413	Lake Youngs 
3414	Kentridge 
3415	Panther Lake 
3416	Fairwood 
3425	Lake Heights 
3426	Southwest Soos Creek 
3427	Lake Meridian 
3505	Kent CBD / Kent East Hill 
3600	Kent Industrial 
3705	Sea-Tac area
3706	Normandy Park area
3815	Burien area / Seahurst 
3816	White Center / Shorewood 
3825	Boulevard Park 
3900	South Tukwila 
3905	North Tukwila / Riverton 
4005	Skyway / Bryn Mawr 
4110	Renton Industrial 
4120	Renton Highlands 
4130	Renton Airport / CBD 
4210	East Renton 
4225	Cougar Mountain 
4226	Newport Hills 
4230	Renton Plateau 
4300	Issaquah area
4400	Mercer Island
4505	South Bellevue 
4506	Eastgate / Vasa Park 
4605	Klahanie / Pine Lake 
4606	Sahalee 
4607	Beaver Lake 
4706	North Bear Creek 
4810	West Bellevue 
4820	Northwest Bellevue 
4900	Bellevue CBD 
5010	Central Bellevue 
5020	East Bellevue / Lake Hills
5100	Point Cities area
5205	North  Bellevue 
5305	Kirkland area / Houghton 
5306	Kirkland area / Totem Lake 
5415	Redmond area / Overlake 
5425	Redmond CBD 
5426	Redmond area / Union Hill 
5515	Juanita / Finn Hill 
5525	Norway Hill / North Kingsgate
5535	Kenmore area / Inglewood 
5545	Kingsgate / Hollywood Hill
5546	Woodinville area
5600	Bothell area
5715	Fauntleroy / Arbor Heights
5716	Delridge / Highland Park 
5720	Alki / Admiral 
5815	Lower Duwamish / Boeing Field
5825	Industrial District 
5826	Upper Duwamish / Harbor Island
5915	Rainier Beach 
5916	South Beacon Hill / Columbia
5925	North Beacon Hill / Mount Baker
6010	Seattle CBD 
6020	Denny Regrade 
6113	First Hill / Broadway 
6114	East Capitol Hill / Central Area
6115	North Capitol Hill / Madison Park
6123	Lake Union / Seattle Center
6124	Queen Anne 
6125	Interbay 
6126	Magnolia 
6213	Wallingford / Fremont 
6214	University Of Washington 
6215	Ravenna / University District
6216	Windermere / Laurelhurst 
6223	Lake City 
6224	Green Lake 
6225	Northgate 
6226	Wedgewood / View Ridge 
6316	Ballard 
6325	Greenwood / Crown Hill 
6326	Broadview / Haller Lake 
6410	Richmond Highlands 
6420	North City 
6505	Fall City area / Preston area
6506	North Bend area / Snoqualmie area
6605	Duvall area
6606	Carnation area
6900	Cumberland / Southeast King County
6910	East King County 
6930	Vashon Island 
7015	Woodway area / Esperance 
7025	Edmonds South 
7026	Edmonds North 
7100	Mountlake Terrace area
7205	Lynnwood West 
7206	Lynnwood East 
7315	Brier area
7316	Hilltop 
7320	North Creek 
7335	Mill Creek area / Silver Lake 
7340	Eastmont 
7415	Canyon Park 
7425	Clearview / Silver Firs / Snohomish Cascade
7435	Maltby / High Bridge 
7436	Cathcart 
7515	Alderwood Mall 
7525	Lake Serene / Norma Beach 
7526	Harbour Pointe 
7535	Swamp Creek 
7537	Paine Field 
7605	South Snohomish Valley 
7606	North Snohomish Valley 
7700	Snohomish area
7805	Machias / Cavalero Corner 
7806	Fobes Hill 
7905	Lake Stevens area / Frontier Village
8000	Mukilteo area / Southwest Everett
8115	Everett Mall 
8125	Forest Park / Beverly Park
8126	Pinehurst / Lowell 
8210	Everett CBD 
8220	North Everett 
8310	Marysville area
8320	North Marysville / Smokey Point
8405	Getchell Hill 
8406	Sisco Heights 
8500	Arlington area
8600	Monroe area 
8905	Meadow Lake / Woods Creek 
8906	Three Lakes 
8910	Skykomish Valley 
8925	Granite Falls area
8926	Oso / Darrington area
8927	Bryant 
8935	Stanwood area
8936	Lakewood / Warm Beach 
8937	Tulalip 
9002	Port Orchard area
9004	Gorst / Burley / Glenwood 
9005	Gold Mountain / Holly 
9006	Seabeck / Olympic View 
9009	Keyport / Brownsville 
9011	Poulsbo area
9015	Southworth / Manchester 
9016	Ollala 
9017	Erlands Point / Chico 
9018	Silverdale area
9019	Port Gamble area / Suquamish 
9020	Kingston area
9900	Sheridan 
9901	Kitsap Lake 
9902	West Bremerton / CBD 
9904	Manette / View Ridge 
9908	Bangor 
9909	Clear Creek 
9913	Winslow area
9914	Bainbridge Island (rest of island)
9915	Tracyton 
9916	Illahee 
