faz_id	2000	2010	2020	2030	2040
110	1954	1950	2122	2411	2911
120	4400	4522	4872	5409	6387
135	5843	6116	6839	7643	8923
136	4808	5105	5281	5702	6107
205	5213	5575	5665	5722	6205
206	5172	5506	6290	7209	7944
315	5336	5612	6085	6680	7772
325	7481	8273	9010	9636	10694
405	6565	7714	8335	9077	10009
505	8816	14399	17400	18939	21045
506	5012	7786	10873	13525	16162
605	6747	8388	10687	12560	14863
606	4965	7646	9866	11306	13092
705	5091	7432	10377	12965	15390
706	4082	4900	6031	7174	7995
805	5504	7147	8922	10412	12386
806	5383	8773	12564	15612	18653
900	3562	4313	5400	6642	8198
1000	3446	3832	4426	4890	5362
1115	3428	3962	4655	5304	6158
1116	5668	6541	7250	8074	9477
1120	10110	11058	13048	15558	19072
1130	2004	1903	2407	3072	3951
1200	5555	6702	9137	11600	14423
1310	8977	9528	10284	11141	12294
1320	6636	7037	7888	8879	10444
1330	6923	7582	8408	9269	10655
1410	4419	4630	5014	5466	6297
1420	4311	4893	5518	6148	7164
1505	7454	8354	8977	9580	10765
1506	8481	8964	9736	10573	11984
1605	7653	8287	9083	9766	10893
1606	5362	5822	6486	7160	8223
1710	8126	8705	9462	10158	11344
1720	10475	11348	12419	13184	14245
1810	1494	2079	2715	3372	4238
1820	3942	4513	5479	6739	8089
1900	188	181	301	501	841
2000	2728	3451	4498	5680	7139
2100	6515	7229	8287	9470	11139
2215	5846	7237	8268	9171	10264
2216	5553	7110	7896	8713	9498
2225	4570	5640	7336	9129	11152
2910	825	954	1204	1511	1672
2925	4376	5850	6495	7020	7654
2926	7790	8923	10363	11715	13087
2927	1966	2294	2857	3563	4580
2935	4592	3847	3648	3666	4070
2936	872	2075	3311	4155	5036
2940	4555	4807	5470	6330	7651
3010	14571	14852	16014	17202	18386
3020	9043	9738	10556	11330	12279
3030	9892	11636	13182	14528	15490
3045	9932	10886	11636	12404	12924
3046	9152	9515	10096	10646	11093
3110	2682	3451	4522	5472	6430
3120	8800	9565	10722	11968	13443
3130	6785	7487	8491	9409	10297
3200	6978	8047	9962	12353	14953
3310	4526	5962	7245	8629	10257
3320	8024	10412	13147	15321	18041
3330	4384	4757	5280	5773	6327
3413	2327	2748	3346	3943	4390
3414	8008	8879	9159	9808	10495
3415	7309	8223	9763	11223	13007
3416	7749	8444	9242	10283	11522
3425	4777	6163	8257	10121	12131
3426	4836	6314	8373	10305	12726
3427	5852	7826	9927	11724	13372
3505	13622	14449	15945	17490	18683
3600	7242	8071	8744	9585	10376
3705	11798	12449	13610	14628	15392
3706	6047	6019	6622	7103	7566
3815	7895	8405	9670	10783	11557
3816	7977	8487	9295	10134	11119
3825	6522	6805	7861	8847	9817
3900	2407	2697	3302	4083	5167
3905	3112	3008	3327	3814	4320
4005	4337	4526	5154	5796	6483
4110	6957	7535	8346	9326	10607
4120	7322	7901	8628	9366	10422
4130	5876	6666	7467	8242	9543
4210	6197	7775	9625	11405	13710
4225	4135	6149	7434	7741	8122
4226	5596	6154	7390	8844	10447
4230	3353	3484	3807	4186	4517
4300	4441	4654	5386	6104	6945
4400	8437	8907	10046	10575	11235
4505	5248	5771	6724	7700	8433
4506	6413	6638	7360	8274	9460
4605	7181	8133	9383	10293	11666
4606	6864	8109	9396	10276	11640
4607	3162	6713	9413	10679	12006
4706	3554	5521	5715	6042	6372
4810	4009	4044	4361	5040	5726
4820	3298	3370	3774	4414	5233
4900	1559	4964	9399	12390	14048
5010	8101	8448	9209	9886	10461
5020	9748	9950	10377	11143	12057
5100	2704	2606	2761	3012	3111
5205	5403	5649	6691	7986	9381
5305	10278	11089	12341	13332	14116
5306	9380	10598	11738	13096	14026
5415	5279	6184	7231	8239	9701
5425	14267	16081	18875	21546	24215
5426	4817	7560	7941	8459	9046
5515	9087	9432	10225	11219	12291
5525	4771	5579	6753	7989	9314
5535	7862	8493	9690	10461	11243
5545	3770	4329	5223	6012	7009
5546	5417	5958	6999	7928	9073
5600	5115	5592	6514	7568	8806
5715	7351	7655	7734	7919	8889
5716	8972	8912	9436	9822	10325
5720	16635	17121	17644	18217	19198
5815	1815	1691	1793	1942	2219
5825	994	1218	1416	1635	1978
5826	2110	2101	2296	2562	2850
5915	6722	6841	7611	8624	9667
5916	11541	12441	12930	13736	15572
5925	9468	9990	11156	12123	13138
6010	4581	7455	8657	11639	16038
6020	6850	10651	15264	19971	24162
6113	18675	19384	21951	24120	25924
6114	13884	14987	16577	17489	18270
6115	10363	10643	11295	11487	11586
6123	6932	10353	15520	19711	24803
6124	13140	13637	14480	15202	16174
6125	4892	4907	5129	5400	5885
6126	5398	5438	5578	5902	6168
6213	8881	9252	9669	10331	11556
6214	222	230	311	461	732
6215	10982	11351	13223	14231	14531
6216	6158	6035	6499	6890	7156
6223	11631	12092	13089	14045	14871
6224	10112	10369	11218	12555	13858
6225	8779	8932	11933	12395	13140
6226	12691	12720	13401	14231	15530
6316	13157	13547	14773	15956	16489
6325	15146	15483	16515	18750	20480
6326	10399	10669	11892	13350	14823
6410	13733	14406	15046	15636	16296
6420	12345	12500	13134	13869	14251
6505	1924	4589	5365	6135	6902
6506	5131	5648	6295	7225	8470
6605	3295	4111	5124	6350	7308
6606	1733	1977	2345	2811	3434
6900	2656	2930	3104	3380	3663
6910	1238	1689	2079	2368	2625
6930	4193	4491	4944	5378	5809
7015	6608	6731	7421	8253	9149
7025	8475	9311	10602	11928	13678
7026	3660	3978	4204	4497	4776
7100	7847	8617	9666	10458	11831
7205	5301	5544	6070	6678	7397
7206	6972	7609	8741	10083	11830
7315	5329	6635	8131	9484	11197
7316	6246	7389	8796	10177	12175
7320	7958	11487	14864	17275	20387
7335	10985	13602	16322	19190	22999
7340	7173	9973	11661	12844	14735
7415	2484	3745	5043	6061	7330
7425	5798	9039	11826	13494	15003
7435	2526	2968	3436	3712	4149
7436	1904	2171	2687	3206	3842
7515	1341	1808	2591	3457	4303
7525	5112	5772	6792	7878	9131
7526	5067	6319	7508	8424	9258
7535	5538	8583	12242	16250	20660
7537	7065	9594	11706	13289	14832
7605	633	624	689	791	958
7606	518	907	1210	1453	1716
7700	3203	3830	4292	4810	5693
7805	5184	7057	9194	10585	11775
7806	1403	1915	2553	2982	3459
7905	5391	7097	9353	11717	14384
8000	4097	5405	6346	7171	8272
8115	10185	12378	14620	16357	18385
8125	6189	6612	7311	8099	9312
8126	4752	4996	5583	6333	7428
8210	3743	4354	5186	6076	7357
8220	7019	7474	8195	8826	9805
8310	10161	11933	14323	16997	19551
8320	3760	4615	5759	6907	8041
8405	3382	4930	7048	8772	10672
8406	501	858	1300	1550	1812
8500	4580	7315	9615	10843	12023
8600	4918	6150	7849	9450	11403
8905	2713	2760	3148	3745	4677
8906	2621	2950	3450	3947	4319
8910	4683	5830	7236	8643	10421
