faz_id	2000	2010	2020	2030	2040
8925	3888	5265	6600	7690	8349
8926	4300	4819	5690	6859	8132
8927	1669	2073	2473	2664	2881
8935	3284	4085	5516	6722	8060
8936	5355	6194	7485	9292	10465
8937	3313	3796	4668	5723	6934
9002	8501	9295	10483	11852	13371
9004	5164	6386	8130	10093	11397
9005	1668	2152	2800	3511	4318
9006	3050	3759	4524	5343	6132
9009	1588	1970	2531	2889	3254
9011	2995	3800	4803	5720	6659
9015	4651	5357	6358	7253	8209
9016	3647	4077	4776	5600	6456
9017	1230	1385	1647	1943	2225
9018	5451	6532	7969	9326	10958
9019	5071	6199	7651	9412	11340
9020	4909	5825	7405	9354	11193
9900	2889	3117	3555	4082	4853
9901	2554	2705	3052	3516	4281
9902	9276	9374	10361	12060	14193
9904	4471	4719	5428	6326	7691
9908	1282	1317	1380	1505	1754
9909	1494	1593	1755	2127	2770
9913	2508	3025	3675	4214	4821
9914	5471	6203	7382	8799	10165
9915	4992	5489	5737	6259	7086
9916	3554	3880	4508	5280	6314
