faz_id	1980	1990	2000	2010
110	915	968	876	1029
120	2313	2685	3072	3134
135	4611	4966	5107	5264
136	1837	2350	2670	2801
205	2221	2154	2451	2508
206	2591	2321	2427	2207
315	3364	3477	3621	3696
325	2359	2847	3409	4104
405	3424	4877	5852	7176
505	2102	4972	8612	13831
506	1779	2951	4876	7364
605	3895	4813	6224	6797
606	2211	3047	3870	5503
705	2367	3580	4965	6408
706	1916	2807	3854	4298
805	2195	3161	5320	6401
806	2583	3880	5236	9191
900	1809	2035	2337	2611
1000	2507	2883	3271	3217
1115	1817	2192	2810	3594
1116	3779	3731	4238	4284
1120	3338	4948	6690	7588
1130	1425	1301	1458	1364
1200	3669	4070	4539	4960
1310	6579	7079	7558	7715
1320	5415	5485	5551	5374
1330	5519	5792	5951	6196
1410	1750	1851	1989	2229
1420	3156	3080	3092	2992
1505	3044	3664	4408	5130
1506	4027	4789	5373	5593
1605	3512	3991	4308	4089
1606	3007	3600	3889	3791
1710	5692	5491	5595	5923
1720	8162	8248	8258	8114
1810	325	287	303	238
1820	149	193	151	299
1900	172	129	153	185
2000	1128	1162	1276	2488
2100	1961	3373	5631	5887
2215	2101	3430	4685	5592
2216	2844	4118	5295	6462
2225	1749	2620	4000	4920
2910	384	697	818	1227
2925	1763	2895	4333	5569
2926	2938	4916	7652	8591
2927	1028	1335	1872	2277
2935	1958	3255	3334	2656
2936	171	188	695	2307
2940	1970	2994	4494	5544
3010	4894	7946	9522	9964
3020	3576	4141	4812	4487
3030	5205	7747	9110	10793
3045	4685	5575	6072	6549
3046	3548	4307	4511	4598
3110	1042	1491	1959	2213
3120	3812	4604	5570	5420
3130	2718	3215	3410	3289
3200	3744	4595	5943	6293
3310	2224	3094	4491	6540
3320	2822	5148	7624	9074
3330	2863	3834	4367	4631
3413	1622	1847	2299	2899
3414	3065	4409	5581	6000
3415	3122	4744	6014	6660
3416	3827	5144	5509	6267
3425	2012	3228	4157	4966
3426	1622	2868	4125	5364
3427	3111	4082	5269	7026
3505	4375	4890	5697	5738
3600	2857	3227	4150	4953
3705	6711	6322	6152	5672
3706	4410	4824	4793	4744
3815	5090	5202	5230	5131
3816	5284	5554	5737	5594
3825	4108	4270	4406	4323
3900	581	609	717	682
3905	1743	1753	1723	2020
4005	3298	3424	3544	3529
4110	2736	3479	3764	4440
4120	3382	3712	4226	4733
4130	2967	2897	2916	3264
4210	2913	3718	4594	6658
4225	472	1255	2949	4363
4226	3349	4028	4608	4781
4230	2704	3157	3320	3483
4300	1675	2028	2477	2457
4400	6121	6563	6740	6873
4505	3001	4592	5120	5280
4506	3539	4208	4508	4603
4605	1173	3201	5349	6126
4606	1791	5161	6541	7604
4607	996	1619	3124	7450
4706	1250	2325	3554	4999
4810	2431	2518	2583	2438
4820	1912	1968	2065	1895
4900	74	84	42	92
5010	3037	3415	3758	3802
5020	5928	6272	6380	6245
5100	2559	2744	2701	2597
5205	1505	1936	2119	1990
5305	4334	5295	6258	6927
5306	4521	5017	5152	5390
5415	2252	3054	3492	3433
5425	4639	6293	7611	8116
5426	1638	2734	3925	5754
5515	5238	6290	6761	7051
5525	1994	2603	3372	3689
5535	3719	4876	5723	6530
5545	1243	3059	3313	4034
5546	2374	4007	4284	4438
5600	2372	2893	3238	3713
5715	6207	6388	6460	6513
5716	5050	5257	5960	6943
5720	10489	10546	10621	11034
5815	1219	1094	1162	1372
5825	324	291	332	368
5826	1077	1140	1217	1583
5915	4802	5077	5563	5466
5916	8209	8616	9190	9818
5925	6058	5898	6404	6807
6010	38	118	102	294
6020	39	118	58	171
6113	712	774	615	960
6114	6278	6497	6954	8069
6115	5272	5449	5381	5541
6123	1086	1065	1103	1284
6124	4570	4695	4714	4746
6125	1591	1512	1610	1566
6126	4476	4600	4645	4638
6213	3421	3374	3464	3624
6214	70	29	18	17
6215	3545	3507	3573	4050
6216	4617	4797	4863	4910
6223	6416	6763	7159	7110
6224	6207	6369	6495	6426
6225	3343	3510	3659	3822
6226	9663	10093	10202	10658
6316	6280	6188	6403	6893
6325	11462	11540	11630	12132
6326	5850	6064	6000	6575
6410	9690	10425	10514	10890
6420	8722	9308	9674	9665
6505	1020	1302	1851	4358
6506	2872	3609	4428	4494
6605	964	2281	3224	4007
6606	722	1259	1667	1835
6900	1346	1894	2383	2720
6910	580	977	1214	1413
6930	2593	3515	3958	4387
7015	4001	4394	4383	4730
7025	4506	4832	5084	5353
7026	2746	3201	3407	3495
7100	4705	4831	5101	5121
7205	2930	3372	3610	3749
7206	2640	2809	3168	3324
7315	2756	4189	4517	5301
7316	3181	4936	5725	6671
7320	2516	3849	5274	7418
7335	3773	6709	8397	9655
7340	2874	4836	6186	7811
7415	1329	1820	2046	3092
7425	1880	3225	5732	9284
7435	961	1904	2490	2772
7436	930	1452	1836	2053
7515	566	560	936	1259
7525	2168	3088	3804	4319
7526	1070	2307	3426	4070
7535	1491	1672	2160	3796
7537	1323	2137	2581	3275
7605	403	585	612	682
7606	343	427	501	1091
7700	1514	1701	2005	2218
7805	2200	3058	4901	6536
7806	964	1150	1382	1553
7905	2092	2782	4392	6459
8000	1628	2453	3344	3947
8115	2359	3321	4227	4798
8125	3023	3475	4289	4414
8126	3089	3154	3198	3182
8210	1897	1728	1750	1724
8220	4079	4032	3988	3833
8310	4724	5918	7462	8568
8320	2229	2758	3558	3935
8405	733	1270	3307	5113
8406	275	461	501	638
8500	1612	2082	3527	5111
8600	1593	2052	3734	4417
8905	959	1815	2623	3362
8906	1479	2094	2586	2944
8910	2067	3030	4504	5181
8925	1781	2587	3690	4536
8926	2117	3002	4199	4880
8927	737	1214	1652	1941
8935	1609	2050	2765	3712
8936	2118	3366	5115	5715
8937	1714	2488	3228	3809
9002	4679	5231	5996	6714
9004	2648	3741	5121	6446
9005	689	1160	1661	2158
9006	1135	2123	3045	3625
9009	992	1261	1544	1848
9011	1189	1509	2040	2760
9015	2230	3441	4474	5236
9016	1640	2626	3593	4139
9017	832	1023	1166	1141
9018	961	1751	3179	3365
9019	2524	3640	4993	6036
9020	1969	3020	4557	5629
9900	1155	1427	1651	1624
9901	1316	1743	1677	1823
9902	6316	6560	5997	6304
9904	2607	2879	2695	2833
9908	214	331	622	518
9909	741	1174	1473	1583
9913	822	1152	1547	2164
9914	3067	4167	5380	5968
9915	2111	3387	4066	4474
9916	2454	2864	3285	3697
