faz_id	2010	2025	2030	2031	2035
110	790	1040	1131	1147	1211
120	1298	1427	1422	1421	1420
135	2367	3565	3856	3908	4111
136	4141	7718	8333	8452	8923
205	10387	13073	14271	14496	15393
206	6442	8426	9277	9441	10101
315	5680	7130	7602	7693	8055
325	4255	5364	5841	5928	6272
405	3483	5068	5394	5457	5701
505	9557	12166	13015	13167	13774
506	4094	4656	4956	5010	5228
605	3767	4800	5106	5156	5363
606	3499	4125	4452	4511	4748
705	2290	6466	7088	7203	7663
706	2978	4055	4343	4390	4577
805	4530	5216	5423	5460	5617
806	3728	5018	5294	5341	5528
900	10921	21294	24819	25405	27752
1000	2815	3966	4141	4171	4295
1115	4733	6004	6512	6609	6994
1116	6086	8467	9246	9393	9981
1120	11022	15381	16841	17112	18196
1130	3366	5641	6217	6323	6748
1200	4052	6585	7248	7355	7790
1310	5019	6649	7421	7567	8155
1320	3570	5645	6218	6328	6765
1330	4711	6508	7188	7321	7847
1410	10701	15580	17246	17548	18761
1420	11522	16676	18558	18922	20375
1505	4671	6806	7270	7357	7707
1506	3599	4406	4720	4778	5014
1605	6091	7434	8201	8351	8947
1606	1886	3200	3600	3674	3973
1710	10152	18033	20048	20437	21993
1720	5392	9932	10994	11196	12000
1810	11673	21486	23936	24412	26325
1820	18245	26749	29899	30519	33000
1900	10855	15894	17793	18150	19573
2000	11852	16214	17871	18176	19402
2100	1930	2313	2554	2598	2777
2215	5621	6438	6627	6662	6805
2216	3279	3766	3885	3907	3988
2225	6155	6634	6871	6915	7092
2910	544	782	812	816	837
2925	1436	1929	2006	2018	2067
2926	1899	2375	2437	2448	2489
2927	1282	2462	2820	2888	3162
2935	54362	60088	61011	61189	61900
2936	2839	6221	7375	7597	8484
2940	2307	2813	2888	2901	2956
3010	8208	12120	13199	13414	14277
3020	17758	22259	24240	24635	26217
3030	8494	14779	16427	16756	18074
3045	2824	4318	4735	4818	5153
3046	6241	9841	10886	11096	11930
3110	2249	3462	3843	3918	4222
3120	14439	19490	21458	21851	23425
3130	19824	29536	32740	33380	35941
3200	6853	8432	8896	8988	9357
3310	2957	4830	5452	5577	6075
3320	4686	6163	6678	6780	7191
3330	1959	2742	3016	3069	3286
3413	1150	1213	1278	1292	1346
3414	2245	2736	2930	2970	3125
3415	4131	5156	5546	5623	5936
3416	3229	3999	4222	4267	4446
3425	2605	3587	3882	3944	4181
3426	2480	3301	3548	3597	3795
3427	5232	6056	6288	6334	6521
3505	16011	20851	22216	22488	23581
3600	43851	55160	58961	59720	62761
3705	26863	49274	56729	58219	64184
3706	2530	4160	4618	4709	5075
3815	7624	10644	11673	11878	12702
3816	3567	5444	5985	6092	6524
3825	7422	11161	12437	12696	13718
3900	19862	24385	26381	26778	28372
3905	19673	25092	27089	27489	29088
4005	1724	1966	2051	2068	2136
4110	27151	36522	39822	40479	43118
4120	2715	5082	5530	5620	5977
4130	22126	31727	34889	35520	38049
4210	3677	5477	5954	6050	6431
4225	2532	3240	3529	3587	3817
4226	2917	4026	4365	4433	4703
4230	1761	2057	2134	2150	2210
4300	8236	17682	20115	20602	22548
4400	7849	9397	9873	9968	10347
4505	1500	1763	1881	1905	2000
4506	28584	34294	37138	37705	39982
4605	13725	18337	20591	21040	22842
