tractcity_id,HH1_2_2020,HH3plus_2020,Jobs_2020,HH1_2_2030,HH3plus_2030,Jobs_2030,HH1_2_2040,HH3plus_2040,Jobs_2040
198,0,0,0,0,0,0,208,174,253
200,0,0,0,0,0,0,2781,839,5312
203,0,0,0,0,0,0,2812,1128,2963
228,0,0,0,0,0,0,1398,880,370
232,0,0,0,0,0,0,2093,906,409
239,0,0,0,0,0,0,0,0,439
270,0,0,0,0,0,0,18,4,487
272,0,0,0,0,0,0,581,563,581
278,0,0,0,0,0,0,2024,857,2480
281,0,0,0,0,0,0,781,627,204
283,0,0,0,0,0,0,1919,838,1486
284,0,0,0,0,0,0,1561,622,2944
285,0,0,0,0,0,0,1253,996,1449
286,0,0,0,0,0,0,2656,570,15268
287,0,0,0,0,0,0,956,629,8791
293,0,0,0,0,0,0,931,550,515
294,0,0,0,0,0,0,2654,551,12532
295,0,0,0,0,0,0,1795,794,2513
296,0,0,0,0,0,0,1721,834,1069
297,0,0,0,0,0,0,7975,1119,43259
301,0,0,0,0,0,0,1367,349,8899
302,0,0,0,0,0,0,5016,1282,16583
303,0,0,0,0,0,0,6768,1156,61710
305,0,0,0,0,0,0,1722,999,668
309,0,0,0,0,0,0,2332,1059,5267
342,0,0,0,0,0,0,874,626,612
343,0,0,0,0,0,0,504,465,0
348,0,0,0,0,0,0,1727,895,12542
349,0,0,0,0,0,0,933,870,604
350,0,0,0,0,0,0,671,668,172
351,0,0,0,0,0,0,1035,1274,495
353,0,0,0,0,0,0,411,398,0
355,0,0,0,0,0,0,888,957,716
363,0,0,0,0,0,0,178,242,102
408,0,0,0,0,0,0,4432,933,29147
411,0,0,0,0,0,0,396,361,13015
413,0,0,0,0,0,0,841,244,845
416,0,0,0,0,0,0,0,0,368
427,0,0,0,0,0,0,1149,652,462
429,0,0,0,0,0,0,810,612,228
431,0,0,0,0,0,0,1150,472,522
433,0,0,0,0,0,0,57,44,286
434,0,0,0,0,0,0,830,491,10287
437,0,0,0,0,0,0,1026,455,615
438,0,0,0,0,0,0,1337,902,3040
440,0,0,0,0,0,0,1381,697,1619
441,0,0,0,0,0,0,1319,568,779
444,0,0,0,0,0,0,931,451,195
446,0,0,0,0,0,0,4301,1007,9339
448,0,0,0,0,0,0,1588,411,2193
451,0,0,0,0,0,0,133,37,485
453,0,0,0,0,0,0,1529,786,1369
457,0,0,0,0,0,0,558,341,14613
458,0,0,0,0,0,0,20,9,760
461,0,0,0,0,0,0,1214,709,1238
464,0,0,0,0,0,0,121,52,217
541,0,0,0,0,0,0,2122,1143,338
543,0,0,0,0,0,0,1099,855,564
544,0,0,0,0,0,0,4039,649,0
546,0,0,0,0,0,0,1821,1191,519
547,0,0,0,0,0,0,1311,877,542
548,0,0,0,0,0,0,2242,923,3294
549,0,0,0,0,0,0,884,741,4041
553,0,0,0,0,0,0,1407,765,466
554,0,0,0,0,0,0,931,952,250
557,0,0,0,0,0,0,1160,1061,580
558,0,0,0,0,0,0,1726,702,2268
559,0,0,0,0,0,0,1276,1058,1074
560,0,0,0,0,0,0,850,760,733
561,0,0,0,0,0,0,1147,789,612
563,0,0,0,0,0,0,3478,460,15040
564,0,0,0,0,0,0,2275,415,5433
567,0,0,0,0,0,0,488,598,7341
570,0,0,0,0,0,0,129,256,254
597,0,0,0,0,0,0,181,91,0
