faz_id	2000	2010
110	4754	4710
120	10776	10369
135	14361	14966
136	10985	10127
205	10831	11036
206	12241	12397
315	12933	13555
325	18115	22828
405	16708	21234
505	27726	45327
506	14831	22972
605	18569	20284
606	13387	18995
705	13916	18427
706	11676	12108
805	16670	19141
806	15778	28433
900	8551	9499
1000	9894	9840
1115	9131	11243
1116	13481	13498
1120	27134	29715
1130	4155	4343
1200	14111	15554
1310	24507	26051
1320	17692	17197
1330	21188	22448
1410	12394	13051
1420	12124	13172
1505	16298	18029
1506	20915	20779
1605	15804	15286
1606	11712	11594
1710	20629	20445
1720	24593	24280
1810	3416	3796
1820	5117	5969
1900	320	582
2000	6279	10644
2100	16893	18592
2215	14865	16543
2216	15558	17912
2225	11195	12962
2910	2264	3362
2925	13509	16181
2926	22198	23934
2927	4364	5293
2935	19445	16159
2936	2502	8267
2940	12026	14151
3010	41333	40653
3020	21653	22642
3030	29000	35163
3045	25616	26490
3046	22165	22829
3110	7055	9106
3120	23531	23847
3130	14914	15381
3200	19167	18820
3310	13481	19747
3320	24341	27672
3330	11690	11557
3413	6696	7617
3414	23203	25409
3415	20273	23217
3416	20758	23737
3425	14625	17672
3426	15115	19270
3427	16901	22123
3505	33235	37529
3600	15672	19446
3705	29210	30099
3706	15060	15070
3815	17861	18528
3816	22699	22110
3825	16817	17604
3900	4873	4972
3905	7561	8879
4005	11544	12025
4110	16675	18484
4120	16732	19549
4130	12205	16899
4210	15622	23547
4225	11129	16688
4226	14493	15410
4230	9349	9644
4300	10201	9974
4400	21757	22631
4505	15328	15579
4506	15699	16158
4605	20461	24044
4606	20200	23352
4607	9726	25823
4706	11265	13433
4810	9064	9793
4820	5914	6488
4900	1826	6421
5010	17843	18893
5020	25732	26567
5100	8343	8429
5205	11863	12479
5305	22419	24898
5306	21174	22175
5415	11439	12950
5425	33462	36936
5426	13385	20668
5515	21663	21996
5525	11780	13075
5535	21777	24422
5545	11599	13224
5546	15403	15236
5600	12357	13962
5715	16631	16839
5716	24420	25959
5720	33130	35234
5815	4923	5096
5825	3109	3413
5826	3812	4144
5915	19719	20023
5916	34915	37075
5925	22953	24332
6010	6379	8976
6020	8889	13741
6113	27732	29783
6114	29700	32571
6115	20276	20715
6123	10044	15334
6124	23481	24925
6125	8960	9341
6126	11399	11541
6213	15973	17869
6214	321	241
6215	22755	25521
6216	14694	15582
6223	25231	26618
6224	18679	20498
6225	17371	19066
6226	28576	30028
6316	27260	30359
6325	33251	35149
6326	22316	23965
6410	34473	34630
6420	30976	30380
6505	5103	13710
6506	10987	11071
6605	9647	11814
6606	4891	5235
6900	7259	7490
6910	5952	6272
6930	10083	10537
7015	15888	16426
7025	18837	19095
7026	10094	9881
7100	19669	20283
7205	13275	13281
7206	16585	17492
7315	15553	15230
7316	17298	19397
7320	20976	28683
7335	29861	34462
7340	19728	26191
7415	6639	10848
7425	18274	29852
7435	7459	7896
7436	5667	5808
7515	3266	5083
7525	14380	15464
7526	13928	15633
7535	12796	21364
7537	17670	21704
7605	1855	1893
7606	1419	3353
7700	8049	7917
7805	15152	19530
7806	4161	4490
7905	15521	21762
8000	10838	12445
8115	24591	27599
8125	15525	16535
8126	10989	11393
8210	7140	7256
8220	17828	17628
8310	27008	29683
8320	11157	11429
8405	10651	15870
8406	1414	1518
8500	12217	18132
8600	14142	17070
8905	7925	9607
8906	7767	8371
8910	12819	14309
8925	10984	13479
8926	12051	13362
8927	4824	5605
8935	9105	11676
8936	14706	16357
8937	9231	10596
9002	21796	23589
9004	14477	17462
9005	4613	5683
9006	8598	9687
9009	4223	4872
9011	6822	8127
9015	13221	14435
9016	10088	10893
9017	3883	3976
9018	13350	13756
9019	13361	15751
9020	12706	14859
9900	6614	6863
9901	6550	5627
9902	21038	20264
9904	9589	9796
9908	4556	3837
9909	4275	4616
9913	5360	6928
9914	14785	15886
9915	14820	14591
9916	10019	10913
