Jurisdiction	2010	2025	2030	2031	2035
Bellevue	127538	171946	186745	189705	201545
Seattle	491966	631026	676291	685344	721556
Auburn	39192	57919	64159	65406	70399
Bothell	13024	16372	17452	17668	18532
Burien	12498	17517	19202	19539	20887
Federal Way	31222	43035	46876	47643	50715
Kent	65804	82312	87732	88816	93151
Kirkland	39167	59309	65893	67210	72478
Redmond	79669	115058	127281	129725	139503
Renton	57407	80308	87912	89433	95517
SeaTac	25643	47850	55250	56731	62650
Tukwila	44453	58458	63128	64063	67799
Des Moines	6491	10511	11826	12089	13140
Issaquah	20618	35439	40388	41380	45339
Kenmore	4591	7819	8858	9067	9899
Maple Valley	3804	5829	6470	6598	7110
Mercer Island	7848	9397	9873	9968	10347
Sammamish	6352	8093	8723	8849	9352
Shoreline	18261	22889	24353	24647	25818
Woodinville	11969	19862	22512	23042	25162
Algona	2090	2226	2276	2286	2327
Beaux Arts	21	56	67	69	77
Black Diamond	573	1482	1778	1837	2073
Carnation	618	1257	1463	1503	1667
Clyde Hill	833	963	988	993	1013
Covington	5280	5775	5956	5991	6135
Duvall	1360	1931	2126	2165	2321
Enumclaw	4987	6192	6518	6583	6842
Hunts Point	62	74	74	74	74
Lake Forest Park	2175	2463	2548	2565	2633
Medina	461	496	496	496	496
Milton	21	145	185	193	225
Newcastle	2281	2833	3024	3062	3214
Normandy Park	969	1199	1278	1294	1359
North Bend	3321	4380	4690	4752	4999
Pacific	843	1975	2341	2414	2707
Skykomish	71	66	66	66	66
Snoqualmie	3421	4554	4795	4842	5034
Yarrow Point	143	160	165	167	171
Urban Unincorporated	18732	26374	29034	29567	31694
Rural	25178	29780	31396	31718	33011
Bremerton	30224	41567	43281	43616	44958
Silverdale	11101	17630	19254	19561	20793
Bainbridge Island	8188	9733	10178	10260	10587
Port Orchard	7191	7118	7553	7635	7959
Poulsbo	6110	8046	8525	8616	8980
Urban Unincorporated	9495	19142	20891	21219	22532
Rural	17126	20590	20493	20477	20414
Tacoma	102807	157356	175047	178442	192025
Auburn	691	886	924	932	963
Lakewood	24747	34958	38122	38716	41095
Puyallup	22051	30706	33710	34278	36547
Fife	12346	17013	18765	19081	20350
University Place	6694	9394	10110	10243	10781
Bonney Lake	4644	5342	5543	5581	5733
Buckley	2046	2750	2990	3030	3188
Carbonado	64	75	75	75	75
DuPont	3055	7707	9153	9431	10545
Eatonville	885	1965	2310	2376	2641
Edgewood	1560	2742	3142	3207	3468
Enumclaw	0	0	0	0	0
Fircrest	1454	1547	1581	1588	1615
Gig Harbor	9059	9307	9586	9639	9853
Milton	1982	2359	2449	2465	2529
Orting	1146	2110	2400	2453	2668
Pacific	1865	5194	6300	6484	7218
Roy	181	317	358	364	388
Ruston	143	412	497	513	577
South Prairie	69	253	307	318	357
Steilacoom	1022	1037	1012	1008	991
Sumner	9316	17019	19599	20032	21762
Wilkeson	69	138	158	161	176
Urban Unincorporated	49901	108057	112258	113023	116086
Rural	22953	25042	25677	25782	26200
Everett	85646	116384	129134	131684	141884
Bothell	13121	16060	17545	17843	19031
Lynnwood	24367	34021	38716	39657	43411
Arlington	8575	15134	18274	18902	21414
Edmonds	13251	15018	15532	15635	16046
Lake Stevens	5187	7115	7861	8009	8605
Marysville	13037	21837	25752	26535	29666
Mill Creek	5566	6851	7162	7224	7472
Monroe	8407	10322	11272	11462	12222
Mountlake Terrace	7047	8721	9515	9675	10310
Mukilteo	9849	11384	11978	12099	12575
Brier	525	590	580	578	570
Darrington	486	663	748	765	832
Gold Bar	274	516	610	630	706
Granite Falls	822	1656	2005	2075	2355
Index	25	26	26	26	26
Snohomish	4857	5988	6553	6666	7118
Stanwood	3219	4054	4429	4503	4804
Sultan	972	1606	1892	1948	2177
Woodway	229	234	198	192	163
Urban Unincorporated	35863	47295	51734	52622	56175
Rural	22250	29192	30767	31081	32340
					
