faz_id	2000	2010
110	1954	1968
120	4413	4328
135	5830	6095
136	4808	4592
205	4625	4723
206	5171	5192
315	5215	5365
325	7140	8663
405	5978	7407
505	9106	14816
506	4862	7629
605	6757	7461
606	4880	6905
705	4930	6369
706	4096	4466
805	5504	6630
806	5380	10251
900	3560	3997
1000	3791	3879
1115	3428	4349
1116	5668	5694
1120	10168	11724
1130	2024	2061
1200	5540	6189
1310	9036	9339
1320	6642	6611
1330	6854	7251
1410	5146	5256
1420	4740	5212
1505	6886	7459
1506	8491	8686
1605	7438	7463
1606	5191	5250
1710	8195	8416
1720	10780	10620
1810	1718	2024
1820	3737	4162
1900	169	375
2000	2709	4140
2100	6286	6853
2215	5882	6699
2216	5554	6619
2225	4533	5472
2910	811	1232
2925	4642	5927
2926	7522	8457
2927	1692	2024
2935	5527	4985
2936	960	3050
2940	4581	5583
3010	14821	14610
3020	9050	9185
3030	10020	12035
3045	9928	10163
3046	9120	9117
3110	2465	3059
3120	9009	8848
3130	6727	6695
3200	6978	7201
3310	4670	6812
3320	8066	9572
3330	4208	4426
3413	2355	2707
3414	8008	8460
3415	7296	8494
3416	7721	8863
3425	4978	6219
3426	4693	5730
3427	5837	7696
3505	13801	14728
3600	6901	8032
3705	11746	11158
3706	6083	6018
3815	7741	7676
3816	8240	8000
3825	6450	6381
3900	2405	2252
3905	3070	3312
4005	4613	4513
4110	6969	7584
4120	7322	7764
4130	5592	7710
4210	6197	8368
4225	4214	6387
4226	5686	6012
4230	3318	3480
4300	4439	4406
4400	8437	9109
4505	5264	5388
4506	6363	6404
4605	7371	9445
4606	6754	7975
4607	3070	8520
4706	3554	5126
4810	4192	4293
4820	2880	2941
4900	1278	4221
5010	8022	7958
5020	10185	10289
5100	3122	3009
5205	5482	5489
5305	10278	11307
5306	9526	9971
5415	4842	5223
5425	14274	15764
5426	4817	7713
5515	8349	8960
5525	4630	5457
5535	8599	9624
5545	3757	4485
5546	5418	5865
5600	5115	5607
5715	7484	7558
5716	9009	10187
5720	16655	17579
5815	1881	1978
5825	1312	1458
5826	1930	2112
5915	6754	6793
5916	11687	12957
5925	9004	10043
6010	4581	6383
6020	6850	10362
6113	19156	20628
6114	13888	15792
6115	10277	10216
6123	6533	10101
6124	13574	13802
6125	4789	4875
6126	5067	4973
6213	8734	9525
6214	217	196
6215	11002	12223
6216	6158	6294
6223	11469	12259
6224	9159	9758
6225	8813	9538
6226	12691	13002
6316	14242	15854
6325	15146	15751
6326	10527	11378
6410	13733	14411
6420	12346	12525
6505	1940	4721
6506	4017	4114
6605	3296	4110
6606	1732	1906
6900	2656	2921
6910	2348	2527
6930	4193	4606
7015	6656	7016
7025	8619	8934
7026	3759	3818
7100	7696	8366
7205	5037	5113
7206	6936	7339
7315	5489	5568
7316	6246	7222
7320	7945	10714
7335	11376	13736
7340	6715	9000
7415	2481	3960
7425	5876	9744
7435	2516	2791
7436	1915	2084
7515	1300	1878
7525	5103	5773
7526	5075	6153
7535	5565	8569
7537	7058	8560
7605	633	706
7606	536	1165
7700	3283	3376
7805	5087	6654
7806	1477	1630
7905	5372	7605
8000	4097	4970
8115	10192	11267
8125	6189	6449
8126	4485	4695
8210	3441	3676
8220	7611	7884
8310	10296	11347
8320	3620	3994
8405	3396	5188
8406	501	564
8500	4537	6727
8600	4918	5809
8905	2687	3420
8906	2617	2988
8910	4709	5382
8925	3832	4976
8926	4316	5026
8927	1704	2024
8935	3284	4438
8936	5355	6143
8937	3314	3884
9002	8517	9530
9004	5148	6483
9005	1668	2158
9006	3004	3572
9009	1589	1934
9011	2963	3657
9015	4803	5526
9016	3495	4014
9017	1512	1572
9018	5134	5882
9019	5071	6117
9020	4910	6002
9900	2889	2905
9901	2329	2213
9902	9276	9039
9904	4431	4656
9908	1282	1191
9909	1525	1735
9913	2508	3308
9914	5471	6162
9915	5294	5523
9916	3597	4041
