"faz_id","target_id","control_id","control_hct_id"
136,79,79,79
1505,79,79,1079
136,107,107,107
136,99,99,99
1506,107,107,107
2215,92,92,92
1606,77,77,77
2215,107,107,107
1606,97,97,97
2927,124,124,124
2927,124,303,303
505,107,107,107
405,85,85,85
405,85,85,1085
2935,85,85,1085
2935,85,85,85
505,85,85,85
505,124,124,124
2926,124,124,124
2926,124,303,303
2926,107,107,107
1000,124,124,124
605,124,124,124
605,85,85,85
605,85,85,1085
325,85,85,85
325,85,85,1085
325,77,77,1077
315,85,85,1085
325,79,79,79
325,77,77,77
315,85,85,85
605,107,107,107
405,124,124,124
2000,83,83,83
1900,77,77,77
2000,77,77,77
2000,83,83,1083
1900,83,83,83
1900,77,77,1077
1820,77,77,1077
1810,77,77,1077
1720,77,77,1077
1320,77,77,1077
1330,77,77,77
1330,124,124,124
1000,124,303,303
1320,77,77,77
1420,77,77,77
1420,77,77,1077
1310,77,77,77
1310,77,77,1077
1000,77,77,77
1115,124,303,303
1000,85,85,85
1420,79,79,79
1420,79,79,1079
325,124,124,124
1900,85,85,85
2927,90,90,90
2927,107,107,107
506,124,124,124
506,107,107,107
506,85,85,85
1120,124,124,124
1120,124,303,303
1120,80,80,80
1120,85,85,85
705,124,124,124
1120,80,80,1080
1115,80,80,80
1115,80,80,1080
1115,85,85,85
1115,124,124,124
1115,85,85,1085
606,85,85,85
606,85,85,1085
606,80,80,1080
1120,85,85,1085
705,124,303,303
506,124,303,303
506,85,85,1085
505,85,85,1085
705,94,94,94
900,86,86,86
900,78,78,78
900,107,107,107
900,95,95,95
1200,91,91,91
1200,95,95,95
3030,91,91,91
1200,107,107,107
2000,93,93,93
1200,83,83,83
2000,107,107,107
1200,86,86,86
1130,80,80,80
1130,83,83,83
1130,107,107,107
1115,107,107,107
1000,107,107,107
1116,107,107,107
1116,80,80,80
1116,80,80,1080
1130,86,86,86
900,86,86,1086
1200,86,86,1086
1120,86,86,1086
1120,107,107,107
805,124,124,124
706,87,87,87
805,87,87,87
805,107,107,107
806,87,87,87
705,87,87,87
705,107,107,107
805,124,303,303
706,98,98,98
2926,94,94,94
806,78,78,78
806,107,107,107
806,86,86,86
705,86,86,86
900,124,124,124
706,89,89,89
2910,89,89,89
2910,107,107,107
705,98,98,98
706,100,100,100
2910,100,100,100
1330,77,77,1077
2100,6,6,6
7315,143,143,143
7315,156,156,156
7015,130,130,130
8906,176,176,176
8905,176,176,176
7026,130,130,130
7205,127,127,127
7525,135,135,135
8125,125,125,125
7335,138,138,138
7100,140,140,140
7025,130,130,130
7206,127,127,127
7315,135,135,135
7335,139,139,139
7515,127,127,1127
7206,127,127,1127
7315,135,135,1135
7315,127,127,1127
7315,127,127,127
7515,135,135,135
7515,127,127,127
7515,135,135,1135
7535,135,135,135
7535,127,127,127
7205,135,135,135
7205,127,127,1127
7320,133,133,133
7320,139,139,139
7320,129,129,129
7316,129,129,129
7535,135,135,1135
7525,135,135,1135
7320,126,126,126
7316,126,126,126
7100,156,156,156
7100,143,143,143
7315,129,129,129
8320,136,136,136
7535,162,162,162
7537,142,142,142
7537,142,142,1142
7525,142,142,1142
7525,142,142,142
7335,133,133,133
7335,133,133,1133
7335,139,139,1139
7320,139,139,1139
7320,133,133,1133
8115,132,132,132
8115,132,132,1132
7535,132,132,1132
7535,132,132,132
7340,132,132,132
8406,176,304,304
8406,176,176,176
8310,136,136,136
8310,136,136,1136
8210,125,125,125
8126,125,125,125
8925,176,304,304
8926,176,304,304
8600,149,149,149
7537,125,125,125
7537,125,125,1125
8500,128,128,128
8926,176,176,176
7425,129,129,129
8500,176,176,176
7806,176,176,176
7605,176,304,304
7025,127,127,127
8910,176,304,304
7436,176,176,176
8937,176,210,210
8936,176,176,176
7606,176,176,176
7700,150,150,150
7805,148,148,148
7805,176,176,176
8115,125,125,125
8935,176,176,176
8910,152,152,152
7605,176,176,176
7015,153,153,153
8926,144,144,144
8910,158,158,158
8220,125,125,125
8220,125,125,1125
7905,148,148,148
7415,126,126,126
7100,140,140,1140
7100,167,167,167
7015,131,131,131
8000,141,141,1141
8405,164,164,164
8320,136,136,1136
7425,176,176,176
8000,125,125,125
8000,125,125,1125
7026,130,130,1130
8125,125,125,1125
8115,125,125,1125
8925,176,176,176
7025,130,130,1130
8905,176,304,304
8000,141,141,141
8927,176,176,176
7335,125,125,125
7335,125,125,1125
7335,138,138,1138
7425,138,138,138
7425,139,139,139
8935,151,151,151
8500,155,155,155
7340,125,125,125
8600,176,176,176
8126,125,125,1125
8600,166,166,166
7806,170,170,170
7606,176,304,304
7316,126,126,1126
7526,141,141,141
7425,169,169,169
7905,176,176,176
7340,132,132,1132
8910,145,145,145
7905,161,161,161
7015,130,130,1130
8910,176,176,176
8500,128,128,1128
8405,176,176,176
7415,176,176,176
8906,176,304,304
7806,150,150,150
7340,125,125,1125
8905,166,166,166
8210,125,125,1125
7606,125,125,125
7100,130,130,130
8936,136,136,136
8936,164,164,164
7700,176,304,304
8405,136,136,136
7015,131,131,1131
8925,146,146,146
7335,132,132,132
7335,132,132,1132
8927,128,128,128
7805,161,161,161
7526,142,142,142
7700,176,176,176
7606,136,136,136
8910,147,147,147
8320,128,128,1128
8320,128,128,128
7015,140,140,140
7015,167,167,167
7026,127,127,127
8935,172,172,172
7435,163,163,163
7415,129,129,129
7320,138,138,1138
7026,135,135,135
7525,127,127,127
8905,149,149,149
8927,176,304,304
7537,141,141,141
7026,127,127,1127
8937,176,176,176
7100,127,127,127
7525,141,141,141
8935,176,304,304
7100,127,127,1127
7905,136,136,136
8925,159,159,159
7320,138,138,138
7806,176,304,304
7537,168,168,168
7436,163,163,163
7425,139,139,1139
7315,140,140,140
7320,126,126,1126
7425,138,138,1138
7415,126,126,1126
8910,174,174,174
7025,127,127,1127
7320,129,129,1129
7805,176,304,304
8500,176,304,304
8600,176,304,304
8406,128,128,128
8405,176,304,304
7015,175,175,175
7315,140,140,1140
7415,163,163,163
7435,176,304,304
8126,176,304,304
7605,125,125,125
7605,170,170,170
7700,170,170,170
7606,132,132,132
8220,125,404,404
8320,176,304,304
8320,176,176,176
8320,164,164,164
8937,136,136,136
8936,176,304,304
8406,155,155,155
8926,157,157,157
