"faz_id","target_id","control_id","control_hct_id"
3600,8,8,8
3505,64,301,301
3130,3,3,1003
3130,3,3,3
3706,39,39,39
4130,24,24,24
4005,24,24,24
4005,13,13,13
3900,13,13,13
4130,11,11,11
5815,20,20,20
3905,13,13,13
3825,20,20,20
5925,2,2,1002
5916,2,2,1002
5916,2,2,2
5815,2,2,2
5925,2,2,2
5825,2,2,2
3600,52,52,52
6113,2,2,1002
6010,2,2,1002
4110,13,13,1013
3900,13,13,1013
5915,2,2,2
3825,13,13,13
3905,13,13,1013
5915,2,2,1002
3505,52,52,52
3505,8,8,8
4110,11,11,1011
3200,64,301,301
3505,8,8,1008
4110,11,11,11
4130,11,11,1011
6114,2,2,1002
6114,2,2,2
6226,2,2,1002
6226,2,2,2
5720,2,2,2
5720,2,2,1002
3030,3,3,3
5020,1,1,1001
5020,1,1,1
5515,9,9,9
6124,2,2,2
5425,10,10,10
6900,64,301,301
4400,18,18,18
3426,8,8,8
4300,7,7,7
5306,9,9,9
3815,5,5,1005
6410,25,25,25
5535,16,16,16
5426,64,64,64
6410,25,25,1025
3427,32,32,32
4900,1,1,1001
6900,34,34,34
4120,11,11,11
5306,9,9,1009
3200,3,3,3
3046,14,14,1014
5715,2,2,2
5715,2,2,1002
3705,12,12,12
3705,13,13,13
3705,12,12,1012
3705,13,13,1013
4210,11,11,11
3320,32,32,32
3045,6,6,6
6123,2,2,1002
3415,23,23,23
3320,53,53,53
3320,64,64,64
5826,2,2,2
4506,1,1,1
6125,2,2,1002
6215,2,2,1002
5305,9,9,1009
3120,3,3,3
6213,2,2,1002
3815,5,5,5
4120,11,11,1011
6224,2,2,2
4605,7,7,7
4225,1,1,1
4607,42,42,42
4607,61,61,61
6606,64,64,64
3046,14,14,14
6420,25,25,25
3030,15,15,1015
3010,6,6,6
3414,8,8,8
3414,8,8,1008
3030,15,15,15
3010,6,6,1006
6325,2,2,1002
6325,2,2,2
3600,8,8,1008
3415,8,8,8
3825,5,5,5
6605,33,33,33
7316,16,16,16
5535,16,16,1016
5535,4,4,1004
3200,34,34,34
6900,64,64,64
706,107,107,107
706,124,303,303
6900,107,107,107
706,124,124,124
706,64,64,64
706,64,301,301
2910,124,303,303
5305,9,9,9
3200,64,64,64
4605,42,42,42
6930,64,64,64
3310,64,64,64
3425,64,64,64
3310,64,301,301
6910,64,301,301
6930,64,301,301
3413,23,23,23
3413,64,301,301
3330,64,64,64
3330,64,301,301
6316,2,2,1002
3816,20,20,1020
3816,20,20,20
3816,2,2,1002
4225,64,64,64
6506,64,301,301
6506,64,64,64
6505,64,64,64
4400,18,18,1018
6505,64,301,301
6020,2,2,1002
6216,2,2,2
5425,10,10,1010
5426,10,10,1010
5426,10,10,10
6605,64,301,301
5426,64,301,301
6606,64,301,301
5535,4,4,4
5546,64,64,64
5546,26,26,26
7435,26,26,26
7435,64,64,64
3110,27,27,27
5716,2,2,2
3426,3,3,1003
3706,5,5,5
3816,5,5,1005
5415,10,10,1010
3427,8,8,8
6326,2,2,1002
6326,2,2,2
5545,9,9,9
6115,2,2,1002
6506,40,207,207
6420,17,17,17
3200,34,205,205
3415,11,11,1011
5600,26,26,26
5545,60,60,60
5205,1,1,1
6126,2,2,2
5600,4,4,4
6124,2,2,1002
706,88,88,88
3200,124,124,124
806,124,303,303
3427,64,64,64
3310,29,29,29
3600,13,13,13
6505,44,44,44
3020,6,6,6
3020,6,6,1006
6125,2,2,2
4210,64,64,64
4225,57,57,57
4607,64,64,64
6216,2,2,1002
5426,62,201,201
6420,16,16,16
4706,64,64,64
6910,64,64,64
4005,24,24,1024
3110,41,41,41
5525,9,9,9
3600,62,209,209
3706,12,12,12
3706,14,14,14
5010,1,1,1001
4820,1,1,1
5515,9,9,1009
3045,6,6,1006
4225,19,19,19
4230,64,64,64
5100,31,31,31
5525,26,26,26
6223,2,2,1002
3425,3,3,1003
4607,7,7,7
3705,14,14,14
3310,36,36,36
4606,42,42,42
3320,36,36,36
3415,8,8,1008
5415,1,1,1
5415,10,10,10
6225,2,2,1002
5020,10,10,10
4810,1,1,1001
5205,1,1,1001
4210,11,11,1011
5535,9,9,9
3415,11,11,11
4226,19,19,19
4225,7,7,7
4810,1,1,1
6224,2,2,1002
3426,8,8,1008
7435,176,176,176
5600,4,4,1004
5010,1,1,1
3120,3,3,1003
3110,3,3,1003
3426,3,3,3
6225,2,2,2
2910,64,301,301
2910,124,124,124
806,124,124,124
5826,2,2,1002
3425,3,3,3
3600,12,12,12
3415,64,64,64
5915,13,13,1013
5915,13,13,13
4210,22,22,22
4210,19,19,19
4300,64,64,64
6910,40,40,40
6316,2,2,2
5425,60,60,60
6605,64,64,64
5546,26,26,1026
4226,1,1,1
6213,2,2,2
4505,1,1,1
3413,64,64,64
4506,1,1,1001
3310,49,49,49
3310,53,53,53
3825,13,13,1013
4120,22,22,22
6506,40,40,40
6506,44,44,44
6223,2,2,2
4226,11,11,1011
4226,11,11,11
3045,14,14,14
3816,2,2,2
4300,64,301,301
5825,2,2,1002
6420,25,25,1025
5525,4,4,1004
5525,4,4,4
3816,5,5,5
5100,45,45,45
5100,35,35,35
3705,5,5,5
4226,1,1,1001
5600,26,26,1026
6506,44,208,208
5426,60,60,60
4706,10,10,10
6605,176,304,304
5100,37,37,37
4810,28,28,28
5100,1,1,1
5415,1,1,1001
4820,1,1,1001
5545,64,64,64
6214,2,2,2
4130,24,24,1024
5600,53,53,53
5525,26,26,1026
3416,11,11,11
6910,43,43,43
3825,5,5,1005
6123,2,2,2
3413,8,8,8
4810,18,18,18
4607,64,301,301
5716,2,2,1002
3045,14,14,1014
3416,23,23,23
3427,8,8,1008
3030,6,6,1006
3705,14,14,1014
6215,2,2,2
4226,19,19,1019
6420,17,17,1017
3110,3,3,3
4230,11,11,11
2100,85,85,85
3413,52,52,52
5546,64,301,301
6115,2,2,2
4230,22,22,22
5425,9,9,9
5425,9,9,1009
5535,9,9,1009
4225,19,19,1019
3030,38,38,38
4606,64,64,64
6900,124,303,303
5915,24,24,1024
4005,2,2,1002
6420,16,16,1016
3705,5,5,1005
6606,30,30,30
6214,2,2,1002
5545,10,10,10
4005,11,11,1011
6605,33,204,204
6900,34,205,205
4225,1,1,1001
3045,8,8,1008
3010,77,77,77
2100,77,77,77
4005,11,11,11
5515,16,16,16
5545,26,26,26
4230,64,301,301
4110,23,23,23
3030,3,3,1003
3030,6,6,6
3046,8,8,1008
3030,62,206,206
3425,64,301,301
3130,64,64,64
3120,64,64,64
3320,64,301,301
3330,53,53,53
4505,1,1,1001
5305,53,53,53
6606,30,202,202
5525,9,9,1009
3505,3,3,3
3413,32,203,203
3413,32,32,32
4506,7,7,7
4506,7,7,1007
4225,7,7,1007
3010,85,85,85
4225,51,51,51
6910,44,44,44
6910,44,208,208
5305,45,45,45
5100,9,9,9
3046,8,8,8
3706,12,12,1012
4605,7,7,1007
4300,7,7,1007
5305,1,1,1001
4820,9,9,9
4820,9,9,1009
3120,64,301,301
3130,64,301,301
2000,85,85,85
5815,13,13,13
3010,93,93,93
1200,93,93,93
3413,53,53,53
5545,64,301,301
5100,2,2,2
3600,64,301,301
3900,11,11,11
806,64,301,301
4400,2,2,2
4225,48,48,48
5915,53,53,53
3046,12,12,1012
3046,12,12,12
3120,27,27,27
4110,13,13,13
3416,64,64,64
3330,7,7,7
5425,64,301,301
4706,62,201,201
3045,8,8,8
3905,2,2,2
3200,124,303,303
3120,46,46,46
3815,39,39,39
6505,44,208,208
4130,18,18,18
4225,64,301,301
5020,42,42,42
4226,53,53,53
4120,19,19,19
3030,41,41,41
3120,41,41,41
3030,27,27,27
3200,53,53,53
3120,53,53,53
1200,41,41,41
3030,64,301,301
3600,13,13,1013
4400,37,37,37
6900,124,124,124
6020,2,2,2
4607,53,53,53
3030,58,58,58
7315,17,17,17
4005,2,2,2
7315,16,16,16
5915,24,24,24
806,3,3,3
5915,20,20,1020
3905,12,12,1012
3905,12,12,12
5546,53,53,53
3130,46,46,46
5425,64,64,64
9004,76,76,76
9016,76,76,76
9004,76,302,302
2216,124,124,124
9004,124,124,124
2940,124,124,124
9016,76,302,302
9004,65,65,65
9002,72,72,72
9004,67,67,67
9002,71,71,71
9005,65,65,65
9002,71,71,1071
9005,76,76,76
9004,71,71,71
9004,72,72,72
9016,72,72,72
9016,71,71,71
9005,67,67,67
9015,76,76,76
9002,76,76,76
9006,76,76,76
9916,75,75,75
9904,75,75,75
9904,67,67,67
9904,65,65,1065
9904,65,65,65
9916,67,67,67
9900,65,65,65
9900,67,67,67
9900,65,65,1065
9915,67,67,67
9902,67,67,67
9005,76,302,302
9017,76,76,76
9901,76,76,76
9901,65,65,65
9902,65,65,65
9902,65,65,1065
9901,67,67,67
9901,76,302,302
9002,72,72,1072
9914,69,69,69
9009,76,76,76
9018,76,76,76
9909,76,76,76
9909,68,68,68
9018,68,68,68
9009,68,68,68
9908,76,402,402
9916,76,76,76
9009,75,75,75
9018,68,68,1068
9006,68,68,68
9017,68,68,68
9915,76,76,76
9915,68,68,68
9915,75,75,75
9913,69,69,69
9913,69,69,1069
9914,69,69,1069
9019,76,76,76
9019,73,73,73
9019,74,74,74
9019,73,73,1073
9019,74,74,1074
9909,74,74,74
9909,73,73,73
9011,73,73,73
9011,76,76,76
9011,74,74,74
9011,73,73,1073
9908,76,76,76
9020,76,76,76
9020,70,70,70
9020,76,302,302
9019,76,302,302
9902,65,401,401
9020,70,70,1070
9015,72,72,72
9011,74,74,1074
2940,124,303,303
2936,124,124,124
2935,124,124,124
120,99,99,99
120,124,124,124
120,124,303,303
2935,82,82,82
2936,82,82,82
2936,82,82,1082
2935,82,82,1082
2215,124,124,124
2216,92,92,92
2216,107,107,107
2216,124,303,303
2225,124,124,124
2225,124,303,303
2225,107,107,107
2225,92,92,92
2925,124,303,303
2925,124,124,124
2925,107,107,107
2925,96,96,96
205,79,79,1079
206,79,79,1079
206,79,79,79
205,79,79,79
2935,79,79,1079
135,79,79,79
120,79,79,79
120,107,107,107
2935,107,107,107
2935,99,99,99
110,79,79,79
135,79,79,1079
110,79,79,1079
2935,107,403,403
110,107,107,107
110,107,403,403
2935,79,79,79
1710,77,77,77
1720,77,77,77
1710,77,77,1077
1605,77,77,77
1605,77,77,1077
1506,81,81,81
1506,81,81,1081
1506,77,77,77
1505,81,81,1081
1505,77,77,1077
1506,77,77,1077
1505,81,81,81
1505,84,84,1084
1505,84,84,84
1410,77,77,77
1410,77,77,1077
1410,81,81,81
205,77,77,77
205,77,77,1077
1410,85,85,85
136,79,79,1079
205,81,81,81
1505,77,77,77
