"geoid10",name_val,count,census_tract_id,county_id
"53033000100",1,1403,1,33
"53033000200",2,2233,2,33
"53033000300",3,1090,3,33
"53033000401",4,880,4,33
"53033000402",4,1349,5,33
"53033000500",5,1440,6,33
"53033000600",6,2371,7,33
"53033000700",7,1271,8,33
"53033000800",8,1064,9,33
"53033000900",9,904,10,33
"53033001000",10,675,11,33
"53033001100",11,931,12,33
"53033001200",12,1054,13,33
"53033001300",13,1280,14,33
"53033001400",14,1713,15,33
"53033001500",15,1097,16,33
"53033001600",16,1710,17,33
"53033001701",17,989,18,33
"53033001702",17,1511,19,33
"53033001800",18,1626,20,33
"53033001900",19,1347,21,33
"53033002000",20,1234,22,33
"53033002100",21,1368,23,33
"53033002200",22,2163,24,33
"53033002400",24,1105,25,33
"53033002500",25,1159,26,33
"53033002600",26,1794,27,33
"53033002700",27,2074,28,33
"53033002800",28,1724,29,33
"53033002900",29,1676,30,33
"53033003000",30,2337,31,33
"53033003100",31,2542,32,33
"53033003200",32,2471,33,33
"53033003300",33,2114,34,33
"53033003400",34,1265,35,33
"53033003500",35,1300,36,33
"53033003600",36,1539,37,33
"53033003800",38,782,38,33
"53033003900",39,1077,39,33
"53033004000",40,660,40,33
"53033004100",41,2477,41,33
"53033004200",42,2772,42,33
"53033004301",43,1015,43,33
"53033004302",43,264,44,33
"53033004400",44,1293,45,33
"53033004500",45,940,46,33
"53033004600",46,1230,47,33
"53033004700",47,1837,48,33
"53033004800",48,1829,49,33
"53033004900",49,1579,50,33
"53033005000",50,973,51,33
"53033005100",51,1304,52,33
"53033005200",52,1063,53,33
"53033005301",53,438,54,33
"53033005302",53,40,55,33
"53033005400",54,1430,56,33
"53033005600",56,2977,57,33
"53033005700",57,2328,58,33
"53033005801",58,1335,59,33
"53033005802",58,1371,60,33
"53033005900",59,1955,61,33
"53033006000",60,1524,62,33
"53033006100",61,1155,63,33
"53033006200",62,1545,64,33
"53033006300",63,1615,65,33
"53033006400",64,1141,66,33
"53033006500",65,984,67,33
"53033006600",66,637,68,33
"53033006700",67,1206,69,33
"53033006800",68,970,70,33
"53033006900",69,1277,71,33
"53033007000",70,725,72,33
"53033007100",71,264,73,33
"53033007200",72,377,74,33
"53033007300",73,343,75,33
"53033007401",74,212,76,33
"53033007402",74,229,77,33
"53033007500",75,916,78,33
"53033007600",76,763,79,33
"53033007700",77,1791,80,33
"53033007800",78,2230,81,33
"53033007900",79,938,82,33
"53033008001",80,165,83,33
"53033008002",80,123,84,33
"53033008100",81,294,85,33
"53033008200",82,106,86,33
"53033008300",83,78,87,33
"53033008400",84,217,88,33
"53033008500",85,148,89,33
"53033008600",86,629,90,33
"53033008700",87,1142,91,33
"53033008800",88,1303,92,33
"53033008900",89,1767,93,33
"53033009000",90,711,94,33
"53033009100",91,197,95,33
"53033009200",92,169,96,33
"53033009300",93,1502,97,33
"53033009400",94,1709,98,33
"53033009500",95,2274,99,33
"53033009600",96,1860,100,33
"53033009701",97,1929,101,33
"53033009702",97,2238,102,33
"53033009800",98,2423,103,33
"53033009900",99,2209,104,33
"53033010001",100,1185,105,33
"53033010002",100,1319,106,33
"53033010100",101,2479,107,33
"53033010200",102,2013,108,33
"53033010300",103,1904,109,33
"53033010401",104,1639,110,33
"53033010402",104,1742,111,33
"53033010500",105,1935,112,33
"53033010600",106,2914,113,33
"53033010701",107,1351,114,33
"53033010702",107,1098,115,33
"53033010800",108,1964,116,33
"53033010900",109,946,117,33
"53033011001",110,919,118,33
"53033011002",110,1074,119,33
"53033011101",111,1239,120,33
"53033011102",111,1214,121,33
"53033011200",112,1470,122,33
"53033011300",113,2165,123,33
"53033011401",114,1047,124,33
"53033011402",114,1183,125,33
"53033011500",115,1772,126,33
"53033011600",116,2797,127,33
"53033011700",117,2071,128,33
"53033011800",118,2060,129,33
"53033011900",119,2720,130,33
"53033012000",120,1507,131,33
"53033012100",121,1244,132,33
"53033020100",201,1183,133,33
"53033020200",202,1783,134,33
"53033020300",203,1617,135,33
"53033020401",204,1156,136,33
"53033020402",204,1613,137,33
"53033020500",205,2126,138,33
"53033020600",206,1381,139,33
"53033020700",207,1075,140,33
"53033020800",208,1573,141,33
"53033020900",209,1148,142,33
"53033021000",210,1983,143,33
"53033021100",211,1400,144,33
"53033021300",213,1179,145,33
"53033021400",214,1591,146,33
"53033021500",215,1866,147,33
"53033021600",216,1712,148,33
"53033021700",217,2084,149,33
"53033021802",218,1731,150,33
"53033021803",218,1360,151,33
"53033021804",218,1293,152,33
"53033021903",219,1424,153,33
"53033021904",219,1640,154,33
"53033021905",219,1347,155,33
"53033021906",219,1186,156,33
"53033022001",220,1386,157,33
"53033022003",220,1509,158,33
"53033022005",220,960,159,33
"53033022006",220,801,160,33
"53033022101",221,1769,161,33
"53033022102",221,2250,162,33
"53033022201",222,1400,163,33
"53033022202",222,1776,164,33
"53033022203",222,2009,165,33
"53033022300",223,1270,166,33
"53033022400",224,2749,167,33
"53033022500",225,1929,168,33
"53033022603",226,1626,169,33
