control_hct_id,city_id,control_id,target_id,county_id,"control_hct_name","city_name","control_name","target_name"
1,4,1,1,33,"Bellevue","Bellevue","Bellevue","Bellevue"
2,34,2,2,33,"Seattle","Seattle","Seattle","Seattle"
3,2,3,3,33,"Auburn","Auburn","Auburn","Auburn"
4,6,4,4,33,"Bothell","Bothell","Bothell","Bothell"
5,7,5,5,33,"Burien","Burien","Burien","Burien"
6,14,6,6,33,"Federal Way","Federal Way","Federal Way","Federal Way"
7,16,7,7,33,"Issaquah","Issaquah","Issaquah","Issaquah"
8,18,8,8,33,"Kent","Kent","Kent","Kent"
9,20,9,9,33,"Kirkland","Kirkland","Kirkland","Kirkland"
10,30,10,10,33,"Redmond","Redmond","Redmond","Redmond"
11,31,11,11,33,"Renton","Renton","Renton","Renton"
12,33,12,12,33,"SeaTac","Sea Tac","SeaTac","SeaTac"
13,38,13,13,33,"Tukwila","Tukwila","Tukwila","Tukwila"
14,11,14,14,33,"Des Moines","Des Moines","Des Moines","Des Moines"
15,39,15,15,33,"Federal Way PAA","Uninc Urban King","Federal Way PAA","Federal Way PAA"
16,17,16,16,33,"Kenmore","Kenmore","Kenmore","Kenmore"
17,21,17,17,33,"Lake Forest Park","Lake Forest Park","Lake Forest Park","Lake Forest Park"
18,24,18,18,33,"Mercer Island","Mercer Island","Mercer Island","Mercer Island"
19,26,19,19,33,"Newcastle","Newcastle","Newcastle","Newcastle"
20,39,20,20,33,"North Highline","Uninc Urban King","North Highline","North Highline"
22,39,22,11,33,"Renton PAA East Renton","Uninc Urban King","Renton PAA - East Renton","Renton"
22,39,22,22,33,"Renton PAA East Renton","Uninc Urban King","Renton PAA - East Renton","Renton PAA - East Renton"
23,39,23,23,33,"Renton PAA Fairwood","Uninc Urban King","Renton PAA - Fairwood","Renton PAA - Fairwood"
24,39,24,24,33,"Renton PAA West Hill","Uninc Urban King","Renton PAA - West Hill","Renton PAA - West Hill"
25,35,25,25,33,"Shoreline","Shoreline","Shoreline","Shoreline"
26,40,26,26,33,"Woodinville","Woodinville","Woodinville","Woodinville"
27,1,27,27,33,"Algona","Algona","Algona","Algona"
28,3,28,28,33,"Beaux Arts","Beaux Arts","Beaux Arts","Beaux Arts"
29,5,29,29,33,"Black Diamond","Black Diamond","Black Diamond","Black Diamond"
30,8,30,30,33,"Carnation","Carnation","Carnation","Carnation"
31,9,31,31,33,"Clyde Hill","Clyde Hill","Clyde Hill","Clyde Hill"
32,10,32,32,33,"Covington","Covington","Covington","Covington"
33,12,33,33,33,"Duvall","Duvall","Duvall","Duvall"
34,13,34,34,33,"Enumclaw","Enumclaw","Enumclaw","Enumclaw"
35,15,35,35,33,"Hunts Point","Hunts Point","Hunts Point","Hunts Point"
36,22,36,36,33,"Maple Valley","Maple Valley","Maple Valley","Maple Valley"
37,23,37,37,33,"Medina","Medina","Medina","Medina"
38,25,38,38,33,"Milton","Milton","Milton","Milton"
39,27,39,39,33,"Normandy Park","Normandy Park","Normandy Park","Normandy Park"
40,28,40,40,33,"North Bend","North Bend","North Bend","North Bend"
41,29,41,41,33,"Pacific","Pacific","Pacific","Pacific"
42,32,42,42,33,"Sammamish","Sammamish","Sammamish","Sammamish"
43,36,43,43,33,"Skykomish","Skykomish","Skykomish","Skykomish"
44,37,44,44,33,"Snoqualmie","Snoqualmie","Snoqualmie","Snoqualmie"
45,41,45,45,33,"Yarrow Point","Yarrow Point","Yarrow Point","Yarrow Point"
46,39,46,46,33,"Auburn PAA","Uninc Urban King","Auburn PAA","Auburn PAA"
48,39,48,48,33,"Bellevue PAA","Uninc Urban King","Bellevue PAA","Bellevue PAA"
49,39,49,49,33,"Black Diamond PAA","Uninc Urban King","Black Diamond PAA","Black Diamond PAA"
51,39,51,51,33,"Issaquah PAA","Uninc Urban King","Issaquah PAA","Issaquah PAA"
52,39,52,52,33,"Kent PAA","Uninc Urban King","Kent PAA","Kent PAA"
53,39,53,53,33,"King UGA","Uninc Urban King","King UGA","King UGA"
57,39,57,57,33,"Newcastle PAA","Uninc Urban King","Newcastle PAA","Newcastle PAA"
